name,price,size,color,rpm,airflow,noise_level,pwm
Gigabyte AORUS 140 ARGB,24.99,140,Black,"[800, 1700]","[30.3, 60.64]","[8.9, 35.8]",True
ARCTIC F12 PST 4-Pack,,120,Black,"[230, 1350]",53,22.5,True
Corsair iCUE SP140 RGB Pro 2-Pack,54.99,140,Black,1150,62,26,False
GAMDIAS AEOLUS M2 5-Pack,39.99,120,Black,"[700, 1500]",56,,True
Lian Li UNI FAN P28 3-Pack,73.11,120,White,"[200, 2600]","[44.94, 92]","[20.4, 32.1]",True
Corsair AF140 (2018) 2-Pack,25.99,140,Black / White,1150,62,26,False
NZXT Aer P,12.0,140,Black,"[500, 1800]","[27.27, 98.17]","[21, 38]",True
Thermaltake Pure,9.27,120,Black,,40.99,19.5,False
ARCTIC P14,11.78,140,White,"[200, 1700]",72.8,22.5,True
Noctua A14 FLX,23.93,140,Brown,"[900, 1200]","[52.2, 68]","[13.8, 19.2]",False
NZXT F140Q,21.02,140,White,"[500, 1200]","[42.92, 101]","[18, 23]",True
ARCTIC F8 PWM PST,10.11,80,Black,"[300, 2000]",31,,True
ARCTIC P12 PST,10.49,120,White / Transparent,"[200, 1800]",56.3,,True
NZXT F140 RGB DUO 2-Pack,89.98,140,Black,"[500, 1800]",84.75,36,True
Lian Li Uni Fan AL,32.22,120,Black,"[800, 1900]",64.5,"[17, 28.3]",True
Vetroo ARGB120 3-Pack,,120,White,1300,48.1,,True
Corsair AF120 (2018) 3-Pack,43.02,120,Black / White,1400,52,26,False
Corsair ML Elite,14.99,120,White,"[450, 2000]","[14.86, 58.1]","[10, 30.4]",True
Phanteks FSK,13.59,140,Black / White,"[500, 1500]",,,True
Thermaltake SWAFAN 12 3-Pack,74.98,120,Black,"[500, 2000]","[53.02, 54.85]","[30.5, 36.5]",False
be quiet! Silent Wings 3,30.03,140,Black,1600,77.57,28.1,True
Corsair iCUE ML RGB ELITE Premium,36.1,140,White,"[400, 1600]","[15, 82.9]","[10, 31.8]",True
Fractal Design Dynamic X2 GP,43.2,180,Black,"[300, 1200]","[44.9, 153.7]","[16, 35.4]",True
Noctua F12 industrialPPC-2000,27.91,120,Brown / Black,2000,71.69,29.7,False
Noctua P14r redux-1500 PWM,15.95,140,Black / Gray,"[450, 1500]",78.69,25.8,True
ARCTIC P12 PST RGB 0dB,13.97,120,Black,,48.8,,True
Noctua NF-A6x25-PWM,14.95,60,Brown,"[550, 3000]","[13.3, 17.19]","[13.7, 19.3]",True
be quiet! Pure Wings 2,9.9,80,Black,"[750, 1900]",26.3,18.2,False
MSI MAG MAX F12A-3 3-Pack,,120,Black,"[600, 1500]","[8, 40.1]","[20, 28]",True
ARCTIC BioniX F140,,140,Black / White,1800,104,25.3,False
Corsair iCUE ML RGB ELITE Premium 2-Pack,91.99,140,White,"[400, 1600]","[15, 82.9]","[10, 31.8]",True
MagniumGear Skiron,9.58,140,Black / White,1500,85,29,True
Gelid Solutions Zodiac,12.5,120,Black,"[700, 1600]",65.5,35,True
NZXT Aer P,,120,Black,"[500, 2000]","[18.28, 73.11]","[21, 36]",True
Deepcool MF GT 3-Pack,44.99,120,Black,"[500, 1800]",60.6,35,True
be quiet! Shadow Wings 2,32.19,120,Black,1100,38.5,15.9,True
Thermaltake Riing Quad 12 RGB Radiator TT Premium Edition 3-Pack,107.99,120,Black,"[500, 1500]",40.9,25,True
ARCTIC P14 5-Pack,38.7,140,Black,1700,72.8,22.5,False
Phanteks M25-120 PWM,12.98,120,Black,"[500, 2000]",84.26,35.7,True
be quiet! Shadow Wings 2,18.98,120,White / Black,900,38.5,15.9,True
Antec Fusion 120 ARGB 3-Pack,,120,Black,"[600, 2000]",57.93,"[17.02, 31.24]",True
Phanteks M25-140 PWM D-RGB,20.48,140,White,"[500, 1800]",104.62,36.57,True
Phanteks M25-140 PWM,15.98,140,Black,"[500, 1800]",104.62,36.57,True
be quiet! Shadow Wings 2,16.89,140,Black,900,49.8,14.9,True
Thermaltake Pure A12,13.54,120,Black,"[500, 1500]",,,True
Fractal Design Venturi HF-14,20.95,140,Black,1200,118.2,26.5,False
Thermaltake SWAFAN EX14 RGB 3-Pack,119.99,140,Black,"[500, 2000]","[79.3, 81.6]","[34.5, 38.8]",False
ARCTIC F12 PST,9.38,120,White,"[230, 1350]",53,22.5,True
MSI Torx,98.75,120,Black / Red,"[500, 1800]","[19.79, 71.27]","[17.2, 33.6]",True
Corsair ML120 PRO,,120,Black / White,"[400, 1600]",47.3,25,True
Razer Kunai Chroma 3-Pack,135.16,140,Black,"[500, 1600]","[34.48, 81]","[15, 30]",True
ID-COOLING NO-12015-XT ARGB,14.99,120,Gray / Black,"[500, 2000]",54.6,"[13.8, 31.2]",True
Noctua P12 PWM,28.08,120,Brown,"[900, 1300]",,"[12.6, 19.8]",True
Thermaltake Pure 20 ARGB Sync Case Fan TT Premium Edition,40.99,200,Black,"[500, 1000]",129.54,31.2,True
GAMDIAS AEOLUS M2 4-Pack,34.99,120,Black,"[700, 1500]",56,,True
Noctua A12x15 FLX,21.95,120,Brown,"[950, 1850]","[27.37, 55.44]","[10.2, 23.9]",False
Cooler Master MasterFan MF140 Halo²,31.7,140,White,,59.51,27,True
Vetroo ARGB120 3-Pack,,120,Pink,1300,48.1,,True
Fractal Design Prisma AL 3-Pack,,120,White / Black,"[500, 2000]","[20.68, 85.71]","[14.8, 32.7]",True
Phanteks M25-140 PWM D-RGB 3-Pack,49.98,140,White,"[500, 1800]",104.62,36.57,True
Thermalright TL-C12 D6,7.59,120,Gray,1500,66.17,25.6,True
NZXT F140 RGB DUO 2-Pack,81.49,140,White,"[500, 1800]",84.75,36,True
be quiet! Pure Wings 2,12.73,80,Black,"[450, 1900]",26.3,19.2,True
NZXT Aer F,,120,Black,"[500, 1500]","[21.01, 63.02]","[22, 31]",True
Corsair iCUE SP120 RGB Pro 3-Pack,,120,Black,1400,52,26,False
upHere B12CM4 3-Pack,,120,Blue,"[600, 1800]","[18.1, 50.9]","[15.9, 34.4]",True
Thermaltake Pure,13.99,200,Black,,129.63,28.2,False
SeaSonic MAGFLOW 3-Pack,114.98,120,Black,"[600, 2000]",63.33,"[9.9, 33.78]",True
EK Loop Fan FPT 120,25.99,120,Black,"[550, 2300]",77,36,True
EK Loop Fan FPT 120 D-RGB,34.99,120,Black,"[550, 2300]",77,36,True
ARCTIC F9,7.27,92,White / Black,1800,35,,True
Fractal Design Silent R3,11.99,120,Black / White,1200,46.5,20.5,False
Corsair AF120 (2018),13.59,120,Black / White,1400,52,26,False
ADATA XPG VENTO PRO,20.99,120,Gray / Black,"[450, 2150]",75,"[10, 28]",True
Enermax SquA RGB 3-Pack,32.99,120,White,"[300, 1500]","[24.53, 68.27]","[12, 23]",True
Fractal Design Aspect 14 RGB,,140,White,1000,41,19.5,False
In Win Sirius Pure ASP120-3PK 3-Pack,52.99,120,White,"[500, 1800]",50,"[13, 27]",True
Silverstone FN,8.26,120,Black,1200,58.47,25.15,False
Corsair iCUE SP140 RGB Pro,52.98,140,Black,1150,62,26,False
Cooler Master SickleFlow,16.98,120,Black,"[650, 1800]",62,"[8, 27]",True
EK Vardar EVO 120ER,130.0,120,Black / White,"[500, 2200]",,33.5,True
ARCTIC P12,11.17,120,White / Translucent White,"[200, 1800]",56.3,22.5,True
Nidec Servo Gentle Typhoon,23.95,120,Black / Gray,"[900, 2150]","[20, 68]","[15, 34]",True
GameMax Velocity ARGB,,120,Black / White,1500,94.8,23.8,False
Corsair SP120,,120,Black,2350,62.74,35,True
Phanteks FSK 3-Pack,40.49,140,Black / White,"[500, 1500]",,,True
Xigmatek XAF,5.99,120,White,1500,75.3,24,False
Scythe Wonder Snail 120,16.95,120,Black,"[300, 2400]","[7.68, 77.23]","[3, 29.3]",True
Corsair ML140 PRO 2-Pack,68.79,140,Black / White,"[400, 1200]",55.4,20.4,True
PC Cooler Moonlight 5-Pack,,120,Black,"[1000, 1800]",54,,True
ARCTIC F PST,11.99,140,Black,"[200, 1350]",74,,True
Razer Kunai Chroma,44.99,120,Black,"[500, 2200]","[17.48, 65.5]","[15, 35]",True
Silverstone Shark Force 120,25.42,120,Black,,"[0, 100]","[0, 41.2]",True
NZXT F140 RGB DUO,41.98,140,Black,"[500, 1800]",84.75,36,True
Fractal Design Dynamic X2 GP,26.81,140,Black,"[500, 1700]","[47.9, 105.9]",33.7,True
Corsair ML140 2-Pack,,140,White / Black,"[400, 2000]","[20, 97]","[16, 37]",True
NZXT F RGB Core 2-Pack,,140,White,"[500, 1800]","[24.85, 89.48]","[20, 32.5]",True
NZXT F RGB Core,,140,Black,"[500, 1800]","[24.85, 89.48]","[20, 32.5]",True
Delta Electronics AFB1212GHE-CF00,,120,Black,5200,240.96,62,False
Fractal Design Aspect 12,17.98,120,White,1200,32,18.3,False
Noctua B9 redux-1600 PWM,12.99,92,Black / Gray,"[350, 1600]",37.85,17.6,True
Noctua P14s redux-900,16.95,140,Black / Gray,900,49.26,13.2,False
ARCTIC F12 PST 3-Pack,,120,Black,"[230, 1350]",53,22.5,True
Deepcool CF 3-Pack,89.99,120,,"[500, 1500]",56.5,"[17.8, 27]",True
ARCTIC P12,,120,White,"[200, 1800]",56.3,22.5,True
Cooler Master MOBIUS 140P ARGB,29.99,140,Black,,76.5,30,True
ARCTIC F14,49.99,140,White / Black,"[550, 1350]",77.3,,True
Cooler Master SickleFlow ARGB Reverse Edition,18.75,120,Black / White,"[650, 1800]",62,"[8, 27]",True
Apevia APEVIA CO512L-PK Cosmos 120mm Pink LED Ultra Silent Case Fan w/ 16 LEDs & Anti-Vibration Rubber Pads (5 Pack) 5-Pack,19.98,120,,1350,"[57.67, 56.67]",24.7,False
BitFenix Spectre Pro,29.9,230,Black,900,156.27,25.6,False
be quiet! Light Wings 3-Pack,84.9,140,White,2200,71.7,31,True
Scythe Kaze Flex,13.95,120,Gray / Black,"[300, 1200]","[16.6, 51.17]","[4, 24.9]",True
Noctua A12x25 FLX,32.95,120,Brown,"[1350, 2000]","[37.96, 60.09]","[14.2, 22.6]",False
Thermaltake TOUGHFAN Turbo,19.98,120,Black,"[500, 2500]",72.69,28.1,True
ARCTIC F8 PWM PST 5-Pack,,80,Black / White,"[300, 2000]",31,,True
Enermax SquA RGB 3-Pack,20.98,120,Black,"[300, 1500]","[24.53, 68.27]","[12, 23]",True
Bitspower Notos 3-Pack,64.48,120,Black / White,"[800, 1800]",,"[25, 28]",True
Corsair ML120 Pro,,120,White / Black,"[400, 2400]","[12, 75]","[16, 37]",True
be quiet! Light Wings 3-Pack,79.9,120,White,1700,41.51,20.6,True
Noctua A4x10,13.95,40,Brown,"[3700, 4500]","[3.88, 4.83]","[12.9, 17.89]",False
Noctua P12 redux-900,14.95,120,Gray,900,37.31,12.6,False
Corsair AF140 (2018) 2-Pack,,140,Black / White,1150,62,26,False
Apevia APEVIA CO312L-WH Cosmos 120mm White LED Ultra Silent Case Fan w/ 16 LEDs & Anti-Vibration Rubber Pads (3 Pack) 3-Pack,16.98,120,,1350,"[57.67, 56.67]",24.7,False
PC Cooler HALO FRGB 3-Pack,44.99,120,Black,"[1000, 2000]",72,"[8, 29.1]",True
Enermax T.B. RGB 6-Pack,91.09,120,Black,"[500, 1500]",47.53,22,True
ID-COOLING TF-12025-ARGB-TRIO 3-Pack,,120,Black / White,"[500, 1500]",68.2,"[13.8, 30.5]",True
Thermaltake Riing Trio 20 RGB TT Premium Edition,69.98,200,Black,"[500, 1000]",123.53,28,True
Rosewill RFA-120-K,8.99,120,Black,2000,74.48,29.28,False
Fractal Design Silent R2,,120,White,1200,40.6,15,False
be quiet! Pure Wings 2,10.9,120,Black,2000,65.51,35.9,False
Noctua A12x25 ULN,32.95,120,Brown,"[900, 1200]","[23.19, 32.78]","[7.6, 12.1]",False
Thermaltake Pure Duo 2-Pack,40.0,120,Black,"[500, 1500]",,28,True
Phanteks M25-120 PWM D-RGB,33.6,120,White,"[500, 2000]",84.26,35.7,True
Thermaltake Riing,15.95,120,Black / Blue,"[1000, 1500]",40.6,"[18.7, 24.6]",False
Cooler Master MasterFan MF120 Halo²,22.58,120,White,,51.88,27,True
Scythe Kaze Flex Slim,15.95,120,Gray / Black,"[300, 1800]","[8.28, 50.79]","[2.7, 30]",True
ARCTIC BioniX P140,16.89,140,Black / White,"[200, 1950]",77.6,,True
Phanteks F120SP,,120,Black / White,1300,54.4,24.2,False
be quiet! Silent Wings 3,,120,Black,2200,73.33,28.6,True
NoiseBlocker NB-ELOOP X ARGB,43.32,120,White,,"[0, 58.09]","[0, 21.2]",True
Gelid Solutions LYRA,15.99,140,Black,"[750, 1600]",70,35,True
Corsair iCUE QL140,49.99,140,White / Black,"[550, 1250]",50.2,26,True
ARCTIC F14 PST,49.99,140,Black / White,1350,74,,True
Thermaltake TOUGHFAN,19.98,120,Black,"[500, 2000]",58.35,22.3,True
Corsair ML120 PRO 3-Pack,,120,Black / White,"[400, 1600]",47.3,25,True
ARCTIC F PST 5-Pack,39.99,140,Black,"[200, 1350]",74,,True
GameMax Velocity ARGB,19.81,120,Black,1500,94.8,23.8,False
Corsair ML Elite,10.99,120,Black,"[450, 2000]","[14.86, 58.1]","[10, 30.4]",True
Thermaltake Riing,16.98,120,Black / White,"[1000, 1500]",40.6,"[18.7, 24.6]",False
Silverstone Air Slimmer 120,25.81,120,Black,,"[0, 63.67]","[0, 31.7]",True
ARCTIC BioniX P120 A-RGB,21.33,120,Black,"[400, 2300]",48,30,True
Noctua R8 redux-1200,12.95,80,Black / Gray,1200,21.07,9.1,False
Corsair iCUE ML RGB ELITE Premium,,140,Black,"[400, 1600]","[15, 82.9]","[10, 31.8]",True
Scythe Kaze Flex140 Square,17.45,140,Gray / Black,"[300, 1800]","[16.8, 100.8]","[4.19, 26.45]",True
GAMDIAS AEOLUS M2-1203 LITE 3-Pack,25.99,120,Black,1200,46.7,,False
Apevia C 3-Pack,17.95,120,Black / White,1500,57.67,24.7,False
Deepcool CF120 Plus 3-Pack,,120,White,"[500, 1800]",52.5,28.8,True
Fractal Design Aspect 14 RGB,24.99,140,Black,1000,41,19.5,False
Deepcool RF 120,,120,Black / White,"[500, 1500]",56.5,"[17.8, 27]",True
Cooler Master MasterFan MF120 Halo²,26.43,120,Black,,51.88,27,True
Thermaltake TOUGHFAN 14 3-Pack,125.85,140,Black,"[500, 2000]",,30.7,False
Corsair iCUE SP120 RGB Pro,,120,Black,1400,52,26,False
Silverstone Air Slimmer 120 ARGB,24.17,120,Black,,"[0, 63.67]","[0, 31.7]",True
ARCTIC F8 CO,13.87,80,Black,"[850, 2000]",31,,True
ARCTIC BioniX P120 A-RGB 3-Pack,68.98,120,Black,"[400, 2300]",48,30,True
NZXT F140 RGB DUO,34.99,140,White,"[500, 1800]",84.75,36,True
Cooler Master MOBIUS 120P ARGB,30.99,120,White,,75.2,30,True
Thermaltake Pure Duo 2-Pack,49.98,120,White,"[500, 1500]",,28,True
Iceberg Thermal IceGALE ARGB,23.99,120,Black / Teal,"[500, 2200]",94,"[0, 38]",True
Cooler Master MasterFan MF140 Halo²,33.98,140,Black,,59.51,27,True
Noctua S12A FLX,21.95,120,Brown,"[700, 1200]",,"[7.4, 17.8]",False
Noctua P12 redux-1300,14.95,120,Gray,1300,54.32,19.8,False
Cougar Vortex,19.98,120,Black,"[600, 1500]",43.54,26,True
ID-COOLING TF-12025-BLACK,,120,Black,"[700, 1800]",76.16,"[15.2, 35.2]",True
Thermalright TL-C12015W-S,,120,White,1500,52,24.1,True
Thermaltake Pure A12,19.96,120,Black,"[500, 1500]",,,True
Deepcool RF 2-Pack,,140,Black,"[500, 1200]",64.13,"[19.8, 24]",True
Montech METAL 120 PWM,,120,Black,"[800, 1950]",69,26,True
Corsair ML140 Pro,34.01,140,Black / Red,"[400, 2000]","[20, 97]","[16, 37]",True
NZXT Aer F 2-Pack,,120,Black,"[500, 1500]","[21.01, 63.02]","[22, 31]",True
Cooler Master MasterFan MF120R,23.2,120,Black,"[650, 2000]",59,31,True
NZXT AER RGB 2 2-Pack,,140,Black,"[500, 1500]","[30.39, 91.19]","[22, 33]",True
Apevia C 5-Pack,27.95,120,Black / White,1500,57.67,24.7,False
be quiet! Silent Wings 3,23.9,140,Black,1600,77.57,28.1,False
Fractal Design Prisma AL 3-Pack,,140,Black / White,"[500, 1700]","[31.67, 103.85]","[15.1, 34.1]",True
Noctua A14 ULN,30.18,140,Brown,"[650, 800]",,"[9.1, 11.9]",False
NZXT F RGB Core,,140,White,"[500, 1800]","[24.85, 89.48]","[20, 32.5]",True
Noctua NF-A6x25 FLX,14.95,60,Brown,"[1600, 3000]","[9.82, 17.18]","[8.19, 19.3]",False
Corsair AF120 (2018),14.46,120,Black / White,1400,52,26,False
Cooler Master MasterFan MF200R ARGB,30.96,200,Black / Gray,800,90.3,28,False
Fractal Design Prisma AL,,120,White / Black,"[500, 2000]","[20.68, 85.71]","[14.8, 32.7]",True
ARCTIC P12,9.49,120,Black / Transparent,"[200, 1800]",56.3,22.5,True
ARCTIC F9 PWM,,92,Black,"[150, 1800]",,,True
Noctua A20 FLX,32.95,200,Brown,"[550, 800]","[59.33, 86.46]","[10.7, 18.1]",False
Thermaltake TOUGHFAN,19.98,140,Black,"[500, 2000]",119.1,"[25.2, 33.2]",True
be quiet! Shadow Wings 2,19.89,140,White / Black,900,"[49.8, 85]",14.9,True
Scythe Kaze Flex II Slim,16.95,120,Black,"[300, 1800]","[8.16, 48]","[2.58, 27.8]",True
ARCTIC F12,,120,White / Black,1300,74,,False
Noctua A8 FLX,16.95,80,Brown,"[1200, 2000]","[17, 29.67]","[7.9, 16.1]",False
be quiet! Silent Wings 4,23.9,120,Black,1600,48.7,18.9,False
Corsair AF120 (2018) 3-Pack,,120,Black / White,1400,52,26,False
Thermaltake Pure Plus RGB TT Premium Edition 3-Pack,69.98,120,Black,"[500, 1500]",56.45,25.8,True
RAIJINTEK IRIS 12 RBW ADD-2 2-Pack,19.99,120,White / Black,"[400, 1800]",35.8,28,True
Fractal Design Aspect 14 RGB 3-Pack,59.99,140,Black,1000,41,19.5,False
Enermax HF120 3-Pack,26.98,120,Black,"[500, 1600]","[22.5, 72.1]","[14, 27]",True
Fractal Design Dynamic GP-14,,140,Black / White,1000,68.4,18.89,False
Corsair HD120 3-Pack,,120,Black / White,"[800, 1725]",54.4,"[18, 30]",True
ARCTIC F14 Silent,8.99,140,White / Black,"[220, 800]",46,27.2,False
ARCTIC F,10.99,140,Black,"[200, 1350]",74,,True
Lian Li UNI FAN P28,25.99,120,White,"[200, 2600]","[44.94, 92]","[20.4, 32.1]",True
Noctua A4x10 PWM,14.95,40,Brown,"[1000, 5000]","[3.88, 5.24]","[12.9, 19.6]",True
Fractal Design Prisma AL,,140,White / Black,"[500, 1700]","[31.67, 103.85]","[15.1, 34.1]",True
Thermaltake Riing Trio 12 RGB TT Premium Edition 3-Pack,89.99,120,Black,"[500, 1500]",41.13,25.2,True
Deepcool XFAN,,80,Black,,21.8,20,False
Deepcool XFAN,,120,Clear,1300,44.71,26,False
Vetroo ARGB120 3-Pack,,120,Black,1300,48.1,,True
ARCTIC P8 PST 5-Pack,34.39,80,Black,"[200, 3000]",23.4,,True
Xigmatek Crystal,5.99,140,Clear,1000,60.46,16,False
EK EK-Vardar EVO 140ER,34.8,140,Black / White,"[400, 1600]",,,True
NZXT AER RGB 2 2-Pack,,120,Black,"[500, 1500]","[17.48, 52.44]","[22, 33]",True
darkFlash Aurora DR12 PRO 5-Pack,,120,Black,1200,20.34,16,False
Cooler Master JetFlo,16.98,120,Black,"[1200, 2000]",95,36,True
Cooler Master MasterFan MF120R 3-Pack,79.0,120,Black,"[650, 2000]",59,31,True
Noctua P14 FLX,19.98,140,Brown,"[750, 1200]","[41.93, 64.95]","[10.1, 19.6]",False
ARCTIC BioniX P140,16.98,140,Black / Red,"[200, 1950]",77.6,,True
NZXT FN,,200,White,1300,166.2,37.25,False
ARCTIC P8,,80,Black,3000,23.4,,False
Noctua S12A ULN,21.95,120,Brown,"[600, 800]",,"[6.7, 8.6]",False
Thermaltake Pure A14,14.99,140,Black,"[500, 1500]",,32,True
MagniumGear Skiron,11.98,140,Black / White,1500,85,29,True
Phanteks F120SP,21.43,120,Black / White,1300,54.4,24.2,False
ADATA Vento,9.99,120,Black,1200,45.3,23,False
be quiet! Silent Wings 3,29.02,120,Black,2200,73.33,28.6,False
Thermaltake Riing Plus TT 3-Pack,59.99,120,Black,"[500, 1500]",48.34,24.7,True
Thermaltake Pure,14.99,200,Clear,800,129.63,28.2,False
Bitspower Notos 5-Pack,79.0,120,Black / White,"[800, 1800]",,"[25, 28]",True
Fractal Design Aspect 14,,140,Black,1000,41,19.5,False
In Win Sirius Extreme ASE120P 3-Pack,39.0,120,Black,"[400, 1500]",54,"[21, 25]",True
Corsair AF140 Quiet,77.37,140,Black,1150,67.8,24,False
ADATA Vento,10.99,120,Black / White,1200,45.3,23,False
Cooler Master MasterFan MF Prismatic,34.86,120,Black / White,"[650, 2000]",55,"[8, 27]",True
Iceberg Thermal IceGALE Silent PWM 3-Pack,35.99,120,Black / Blue,"[600, 1600]","[50, 55]","[20, 25]",True
EK Loop Fan FPT 120 D-RGB,27.55,120,White,"[550, 2300]",77,36,True
Fractal Design Dynamic X2 GP,,120,Black,"[500, 2000]",87.6,32.2,True
Antec True Quiet,9.99,120,Blue,"[600, 1000]","[21.5, 35.79]","[8.9, 19.89]",False
Cougar Vortex,,140,Orange,"[700, 1200]","[55.5, 70.5]","[16.4, 19.2]",False
Cooler Master MOBIUS 120,27.98,120,Black,,63.1,22.6,True
Thermaltake TOUGHFAN,23.98,120,White,"[500, 2000]",58.35,22.3,True
Razer Kunai Chroma,47.03,140,Black,"[500, 1600]","[34.48, 81]","[15, 30]",True
Corsair AF140 ELITE,29.99,140,White / Gray,"[400, 1600]","[15.3, 84.5]",31,True
ARCTIC F12,,120,White / Black,1350,53,22.5,True
Antec Fusion 120 ARGB 5-Pack,,120,Black,"[600, 2000]",57.93,"[17.02, 31.24]",True
Silverstone Shark Force,26.76,140,Black,,"[0, 120]","[0, 38.3]",True
Scythe Kaze Flex II,15.95,120,Black,"[300, 2000]","[16.9, 90.28]","[4, 36.2]",True
ARCTIC F14 PST CO,13.94,140,Gray,"[600, 1350]",74,22.5,True
Phanteks F120SP,,120,Black / White,1300,54.4,24.2,False
EK Loop Fan FPT 140 D-RGB,,140,Black,"[600, 2200]",118.01,44.56,True
Thermaltake TOUGHFAN,29.4,140,White,"[500, 2000]",119.1,"[25.2, 33.2]",True
Antec Fusion 120 ARGB,,120,Black,"[600, 2000]",57.93,"[17.02, 31.24]",True
Delta Electronics PFB0912DHE-F00,,92,Black,8000,175.03,66.5,False
NZXT Aer RGB 3-Pack,,140,Black,"[500, 1500]","[23.9, 71.6]","[22, 33]",True
Iceberg Thermal IceGALE Silent 3-Pack,17.99,120,Black / Blue,1100,30,12.3,False
ARCTIC F PST CO,11.45,140,Black,"[200, 1350]",74,,True
Cooler Master MasterFan SF120M ARGB,34.93,120,Black,"[650, 2000]","[35, 62]","[5.5, 22]",True
Xigmatek XAF,6.99,120,Black,1500,75.3,24,False
Corsair ML140 PRO,,140,Black / White,"[400, 1200]",55.4,20.4,True
Fractal Design Aspect 14,24.99,140,White,1000,41,19.5,False
ARCTIC BioniX P120,16.02,120,Red / Black,"[200, 2100]",67.56,,True
Apevia C 3-Pack,17.95,120,Black / Blue,1500,57.67,24.7,False
In Win Saturn ASN120 3-Pack,44.1,120,White / Black,"[500, 1800]",,,True
ARCTIC BioniX F120,11.99,120,Black / Red,"[200, 1800]",69,24.4,True
Deepcool CF 2-Pack,,140,Black,"[500, 1200]",64.13,"[19.8, 24]",True
Cooler Master Silencio FP,19.98,120,Black,1400,"[16.39, 44]","[6.5, 14]",True
Aerocool Project 7 RGB 12,,120,,1200,45.8,14.5,False
Corsair SP120 High Performance 2-Pack,,120,Black,2350,62.74,35,False
NZXT F140P,,140,White,"[500, 1500]","[33.22, 99.68]","[19.4, 32.1]",True
Gelid Solutions Stella 5-Pack,49.99,120,Black,"[500, 1600]",70,35,True
Corsair ML120 Pro,29.34,120,Black / Blue,"[400, 2400]","[12, 75]","[16, 37]",True
be quiet! Shadow Wings 2,17.98,120,White / Black,1100,"[38.5, 65]",15.7,False
In Win Jupiter AJ120 3-Pack,,120,Black,"[500, 1800]",70.32,35,True
Apevia Cosmos 3-Pack,16.98,120,,1350,"[57.67, 56.67]",24.7,False
Lian Li Bora 3-Pack,,120,Black / White,"[800, 2050]",57.2,,True
Iceberg Thermal IceGALE ARGB 3-Pack,,120,Black / Teal,"[500, 2200]",94,"[0, 38]",True
be quiet! Silent Wings 4,24.9,140,Black,1100,51.3,13.6,False
ARCTIC F8 PWM PST 5-Pack,24.95,80,Black,"[300, 2000]",31,,True
Corsair ML140 LED ELITE White Premium,26.18,120,Black,"[400, 1600]","[15, 82.9]","[10, 31.8]",True
Apevia APEVIA CO312L-RD Cosmos 120mm Red LED Ultra Silent Case Fan w/ 16 LEDs & Anti-Vibration Rubber Pads (3 Pack) 3-Pack,16.98,120,,1350,"[57.67, 56.67]",24.7,False
Scythe Kaze Flex Slim,11.95,92,Black,"[300, 2500]","[4.96, 41.3]","[1.8, 23.2]",True
Scythe Kaze Flex ARGB,21.06,120,Black / White,"[300, 1800]","[16.6, 79.76]","[4, 35.8]",True
Raidmax NV-R120TP,14.99,120,White,"[500, 2000]","[58, 64]","[18, 35]",True
Antec True Quiet,,120,Green,"[600, 1000]","[21.2, 35.3]","[8.9, 19.89]",False
be quiet! Light Wings 3-Pack,84.9,140,White,1500,56,23.3,True
Thermaltake SWAFAN 14 3-Pack,104.98,140,Black,"[500, 2000]","[71.3, 77.6]","[34.5, 10.5]",False
GameMax Mirage White Fins,,120,Black / White,1100,36,25,False
Thermaltake Riing Plus TT 3-Pack,97.91,140,Black,"[500, 1400]",63.19,27.2,True
Noctua R8 redux-1800,12.95,80,Black / Gray,1800,31.37,17.1,False
BitFenix Spectre Pro,9.9,120,Black / White,1200,56.22,18.9,False
be quiet! Shadow Wings 2,16.89,140,Black,900,49.8,14.7,False
SHARKOON RGB SHARK Lights,,120,Black,1000,32.96,15.2,False
Silverstone FN,10.93,120,Clear,1200,58.47,25.15,False
Cooler Master R4-S2S-124K-GP 4-Pack,,120,Black,1200,44.73,19.1,False
Gelid Solutions Gale Extreme,,120,Black,"[500, 6000]",195,60,True
Fractal Design Dynamic X2 GP,19.05,120,White / Black,1200,52.3,19.4,False
Scythe Kaze Flex Slim,19.48,120,Black / White,"[300, 1800]","[8.28, 50.79]","[2.7, 30]",True
Thermaltake TOUGHFAN 12 3-Pack,118.99,120,Black,"[500, 2000]",53.75,21.2,False
Kingwin CF-08LB,4.99,80,Black,1700,30,25,False
MagniumGear Skiron,,120,Black,1500,50,29,True
ID-COOLING ZF-12025 Pastel,,120,Blue,"[900, 2000]",55.2,"[16.3, 33.5]",True
Antec SPARK,38.0,120,Black,2000,45.03,32.6,True
BitFenix Spectre Pro,29.9,230,White,900,156.27,25.6,False
ARCTIC P14 Silent,11.99,140,Black,950,29.8,20,False
Thermaltake Pure Duo 2-Pack,60.99,140,White,"[500, 1500]",,33.5,True
Aerocool X-Blaster,11.99,80,Translucent Black,4000,52.8,45.6,False
Corsair AF120 Quiet 2-Pack,,120,Black,1100,39.88,21,False
Antec Prizm,,120,Black,2000,45.03,32.6,True
Iceberg Thermal IceGALE Xtra,,140,Black / White,"[500, 2500]",169,"[0, 47]",True
ARCTIC F8 Silent,9.1,80,Black,1200,15.1,,False
Cooler Master R4-SPS-20AK-GP,9.99,80,Black,2000,24.2,20,False
ARCTIC P8 5-Pack,,80,,3000,23.4,,False
Rosewill ROCF-13001,19.98,120,Black,1200,38.2,22,False
