name,price,style,switches,backlit,tenkeyless,connection_type,color
Mad Catz S.T.R.I.K.E.M,,Gaming,,White,True,Bluetooth Wireless,Black / White
Mad Catz S.T.R.I.K.E.M,,Gaming,,White,True,Bluetooth Wireless,Black / Red
Rosewill BK-500A,,Slim,,,True,Bluetooth Wireless,Black
Cooler Master Novatouch TKL,,Standard,Topre 45g,,True,Wired,Black
Corsair K70 RGB,,Gaming,Cherry MX Blue,RGB,False,Wired,Black
Rosewill RGB80 BR,,Gaming,Kailh Brown,Multicolor,True,Wired,Black
Thermaltake KNUCKER Plunger,,Standard,,,False,Wired,Black
Ducky Shine 4,,Gaming,Cherry MX Black,Red / Blue,False,Wired,Black
Ducky Shine 4,,Gaming,Cherry MX Brown,Red / Blue,False,Wired,Black
Ducky Shine 4,,Gaming,Cherry MX Blue,Red / Blue,False,Wired,Black
Ducky Shine 4,,Gaming,Cherry MX Green,Red / Blue,False,Wired,Black
Ducky Shine 4,,Gaming,Cherry MX Red,Red / Blue,False,Wired,Black
Razer Deathstalker Expert,,Gaming,,Green,False,Wired,Black
i-rocks RF-6572L-BK,,Standard,,,False,Wireless,Black / Silver
Asus 90MS0000-P00010,,Mini,,,True,Wireless,Black
Cooler Master CM Storm Devastator - OEM,,Gaming,,Blue,False,Wired,Black
Cooler Master CM Storm Devastator - OEM,,Gaming,,Red,False,Wired,Black
Cooler Master CM Storm Devastator - OEM,,Gaming,,Green,False,Wired,Black
Mad Catz S.T.R.I.K.E.TE,,Gaming,Kailh Brown,White,False,Wired,Black / Blue
ROCCAT Ryos TKL Pro,,Gaming,Cherry MX Blue,Blue,True,Wired,Black
i-rocks RF-6572L-WH,,Slim,,,False,Wireless,White
Ducky Zero TKL,,Mini,Cherry MX Brown,,True,Wired,Black
Corsair K95 RGB UK,,Gaming,Cherry MX Blue,RGB,False,Wired,Black
Corsair K95 RGB UK,,Gaming,Cherry MX Brown,RGB,False,Wired,Black
Corsair K70 RGB UK,,Gaming,Cherry MX Brown,RGB,False,Wired,Black
Corsair K70 RGB UK,,Gaming,Cherry MX Red,RGB,False,Wired,Black
Corsair K65 RGB UK,,Gaming,Cherry MX Red,RGB,True,Wired,Black
Corsair K95 RGB UK,,Gaming,Cherry MX Black,RGB,False,Wired,Black
Microsoft Wired Desktop 400 for Business,,Standard,,,False,Wired,Black
Asus STRIX TACTIC PRO,,Gaming,Cherry MX Brown,Orange,False,Wired,Black
Belkin B2B127-BLK,,Mini,,,True,Wired,Black
Cooler Master QuickFire Rapid-i,,Standard,Cherry MX Red,White,True,Wired,Black
Cougar ATTACK2-2B,,Standard,Cherry MX Black,,False,Wired,Black
Cougar ATTACK2-3B,,Standard,Cherry MX Blue,,False,Wired,Black
Cougar 200K,,Gaming,,Red,False,Wired,Black
Cougar 500K,,Gaming,,Orange,False,Wired,Black
Cougar 600K,,Gaming,Cherry MX Black,White,False,Wired,Black / Silver
Cougar 700K,,Gaming,Cherry MX Red,Red,False,Wired,Black / Silver
Cougar KBC700-2IS,,Gaming,Cherry MX Black,Red,False,Wired,Black
Cougar 700K,,Gaming,Cherry MX Brown,Red,False,Wired,Black / Silver
Gigabyte FORCE K7 Wireless,,Gaming,,,False,Wireless,Black
Lenovo Cherry SmartBoard G83-6644,,Standard,,,False,Wired,Black
Mad Catz S.T.R.I.K.E. TE,,Gaming,Kailh Brown,White,False,Wired,White
Mad Catz S.T.R.I.K.E. TE,,Gaming,Kailh Brown,White,False,Wired,Black / Red
Mad Catz S.T.R.I.K.E. TE,,Gaming,Kailh Brown,White,False,Wired,Black
Razer Deathstalker Essential,,Gaming,,,False,Wired,Black
ROCCAT RYOS TKL PRO,,Gaming,Cherry MX Brown,Blue,True,Wired,Beige / Gray
Rosewill Apollo RK-9100xBBL,,Gaming,Cherry MX Black,Blue,False,Wired,Black
Rosewill Apollo RK-9100xRBL,,Gaming,Cherry MX Black,Red,False,Wired,Black
Rosewill RBK-100,,Slim,,Blue,False,Wired,Black
Rosewill RK-9000V2 BR,,Standard,Cherry MX Brown,,False,Wired,Black
Thermaltake CHALLENGER Illuminated,,Gaming,,Red,False,Wired,Black
Corsair K70 RGB,,Gaming,Cherry MX Brown,RGB,False,Wired,Black
Buslink KR-6421-BK Keyboard,,Slim,,,False,Wired,Black
KUL ES-87,,Standard,Cherry MX Black,,True,Wired,Black
KUL ES-87 Smoke,,Standard,Cherry MX Blue,,True,Wired,Gray
KeyTronic MK320,,Standard,,,False,Wireless,Black
KeyTronic MK520,,Standard,,,False,Wireless,Black
Adesso EasyTouch135,,Gaming,,Multicolor,False,Wired,Black
Cooler Master MECH,,Gaming,Cherry MX Blue,White,False,Wired,Black / Silver
Cooler Master MECH,,Gaming,Cherry MX Brown,White,False,Wired,Black / Silver
Cooler Master MECH,,Gaming,Cherry MX Red,White,False,Wired,Black / Silver
Ducky Mini,,Mini,Cherry MX Black,Red / Blue,True,Wired,Black / Silver
Ducky Mini,,Mini,Cherry MX Black,Red / Blue,True,Wired,Black / Gray
Ducky Mini,,Mini,Cherry MX Brown,Red / Blue,True,Wired,Black / Silver
Ducky Mini,,Mini,Cherry MX Brown,Red / Blue,True,Wired,Black / Gray
Ducky Mini,,Mini,Cherry MX Blue,Red / Blue,True,Wired,Black / Gray
Das Keyboard 4C Professional,,Standard,Greetech Blue,,True,Wired,Black
Das Keyboard 4C Professional,,Standard,Greetech Brown,,True,Wired,Black
Das Keyboard 4C Ultimate,,Standard,Greetech Blue,,True,Wired,Black
Das Keyboard 4C Ultimate,,Standard,Greetech Brown,,True,Wired,Black
Gear Head KB5500M,,Gaming,Kailh Red,,True,Wired,Black
KeyTronic K120P,,Standard,,,False,Wired,Black
KeyTronic K120U,,Standard,,,False,Wired,Black
RCA TPH510,,Standard,,,False,Wired,Black
Rosewill RK-9000V2 RE,,Standard,Cherry MX Red,,False,Wired,Black
Cherry JD-0400EU-2,,Standard,,,False,Wireless,Black
Cougar 700K,,Gaming,Cherry MX Blue,Red,False,Wired,Black / Silver
Kensington K64370A,,Standard,,,False,Wired,Black
Lenovo Preferred Pro USB Fingerprint Keyboard -US English,,Standard,,,False,Wired,Black
Monoprice K11,,Gaming,,,False,Wired,Black
Monoprice 6821,,Slim,,,False,Wired,Black / White
Monoprice 9180,,Standard,Cherry MX Black,,False,Wired,Black
Monoprice 9181,,Standard,Cherry MX Red,Red,False,Wired,Black
Monoprice K3 Chocolate Style,,Standard,,,False,Wired,Black
Monoprice K9,,Standard,,,False,Wired,Black
Monoprice 9433,,Standard,Cherry MX Blue,,False,Wired,Black
Adesso SlimTouch 510R,,Standard,,,False,Wired,Black
Cherry G80-3930 MX 6.0,,Gaming,Cherry MX Red,Red / Blue,False,Wired,Black / Silver
Kensington K64406US,31.89,Standard,,,False,Wired,White
Kensington Pro Fit Wired Media Keyboard,,Standard,,,False,Wired,Black
EagleTec K005 / KS03,,Gaming,,Multicolor,False,Wired,Black
Nixeus MODA,,Gaming,Kailh Brown,,True,Wired,Black
AZIO HUE,,Slim,,,False,Wireless,Blue / White
AZIO HUE,,Slim,,,False,Wireless,Green / White
Belkin Keyboard,311.18,Mini,,,True,Wired,Black
Genius 31330185100,,Standard,,,False,Wired,Black
IOGEAR Kaliber Gaming IKON,,Standard,,Multicolor,False,Wired,Black
IOGEAR Quietus Desktop,,Standard,,,False,Wired,Black
Panasonic Ikey Keyboard,,Mini,,,False,Wired,Black
SMK-Link BLU-LINK,,Slim,,,True,Bluetooth Wireless,Black / Silver
SolidTek KB-6600,,Standard,,,False,Wired,Black
IOGEAR Quietus RF Desktop,,Standard,,,False,Wireless,Black
Cougar 600K,,Gaming,Cherry MX Red,Orange,False,Wired,Black
Cougar 600K,,Gaming,Cherry MX Brown,Orange,False,Wired,Black
Cooler Master Quick Fire XTi,,Standard,Cherry MX Blue,Red / Blue,False,Wired,Black
TekNmotion TM-NIBK11,,Gaming,,,False,Wired,Black
Ducky ONE,,Standard,Cherry MX Brown,Blue,False,Wired,Black
Adesso SlimTouch 2200,,Slim,,,False,Wireless,Black
AZIO MGK1 RGB,,Standard,Kailh Blue,RGB,False,Wired,Black
HEC HGX300,,Gaming,,,False,Wired,Black
SMK-Link VP3800,,Standard,,,False,Wired,Black
SolidTek KB-3910BL,,Standard,,,True,Wired,Black
Thermaltake Poseidon Z,84.98,Gaming,Kailh Blue,Blue,False,Wired,Black
Thermaltake POSEIDON Z RGB,,Gaming,Kailh Blue,RGB,False,Wired,Black
Feenix Autore,,Standard,Cherry MX Brown,,False,Wired,Black
Feenix Autore,,Standard,Cherry MX Brown,,False,Wired,Black
G.Skill RIPJAWS KM780 RGB,,Gaming,Cherry MX Brown,RGB,False,Wired,Black
Razer BlackWidow Ultimate Stealth,,Gaming,Razer Orange,Green,False,Wired,Black
Adesso SlimTouch 270,,Mini,,,False,Wired,White
Genius Scorpion K20,,Gaming,,RGB,False,Wired,Black
Adesso ACK-730B,,Standard,,,False,Wired,Black
G.Skill RIPJAWS KM780 MX,,Gaming,Cherry MX Blue,Red,False,Wired,Black
HP QY776AA#ABC,,Standard,,,False,Wired,Black
Logitech K800,,Slim,,White,False,Wireless,Black
Logitech K810,,Mini,,White,True,Bluetooth Wireless,Black
Microsoft 2VJ-00003,,Standard,,,False,Wired,Black
Microsoft 3TJ-00002,,Ergonomic,,,False,Wired,Black
Microsoft B2M-00014,,Ergonomic,,,False,Wired,Black / Silver
Microsoft E6K-00002,,Standard,,,False,Wireless,Black
SteelSeries SteelSeries Apex 300 Keyboard,,Standard,,White,False,Wired,Black
Max Keyboard Blackbird,,Gaming,Cherry MX Brown,Red,True,Wired,Black
Redragon ASURA K501,,Gaming,,Multicolor,False,Wired,Black / Red
Ducky Ducky Shine 5 RGB,,Gaming,Cherry MX Brown,RGB,False,Wired,Black
G.Skill RIPJAWS KM780R RGB,,Gaming,Cherry MX Red,RGB,False,Wired,Black
G.Skill RIPJAWS KM780R,,Gaming,Cherry MX Blue,Red,False,Wired,Black
G.Skill RIPJAWS KM780R,,Gaming,Cherry MX Brown,Red,False,Wired,Black
G.Skill RIPJAWS KM780R,,Gaming,Cherry MX Red,Red,False,Wired,Black
KBParadise V60,,Mini,Cherry MX Blue,Red / Blue,True,Wired,Black
Genius G-ZEUS,,Gaming,,RGB,False,Wired,Black
Cooler Master MasterKeys Pro L,,Standard,Cherry MX Blue,RGB,False,Wired,Black
Cooler Master MasterKeys Pro L,,Standard,Cherry MX Red,RGB,False,Wired,Black
Cooler Master MasterKeys Pro S,,Standard,Cherry MX Brown,RGB,True,Wired,Black
Cooler Master MasterKeys Pro S,,Standard,Cherry MX Red,RGB,True,Wired,Black
Das Keyboard Division Zero X40,,Gaming,Alpha-Zulu Linear,Red,False,Wired,Black / Gray
Das Keyboard Division Zero X40,,Gaming,Alpha-Zulu Tactile,Red,False,Wired,Black / Gray
Speedlink SL-6482-BK,,Gaming,,Red,False,Wired,Black
Tomoko MMC023,,Standard,Huano Blue,,True,Wired,Black
ROCCAT Ryos MK FX RGB,,Gaming,Cherry MX Brown,RGB,False,Wired,Black
AZIO MGK L80,,Gaming,Kailh Brown,Red,False,Wired,Black
AZIO MGK L80,,Gaming,Kailh Blue,Blue,False,Wired,Black
AllSmartLife K108,,Gaming,Outemu Blue,RGB,False,Wired,Black
Penclic C2B,,Mini,,,True,Wired,Black / Blue
Penclic C2W,,Mini,,,True,Wired,White / Blue
Penclic K2B,,Mini,,,True,Wireless,Black / Red
Penclic MK1,,Standard,Kailh Brown,White,True,Wired,Black / White
Nixeus MK-RD15,,Gaming,Kailh Red,,True,Wired,Black / Gray
Cooler Master MasterKeys Pro L,,Standard,Cherry MX Blue,White,False,Wired,Black
Cooler Master MasterKeys Pro L,,Standard,Cherry MX Red,White,False,Wired,Black
G.Skill Ripjaws KM570,,Gaming,Cherry MX Brown,Red,False,Wired,Black
FNATIC Rush Pro Gaming,,Gaming,Cherry MX Brown,Red,False,Wired,Black
FNATIC Rush Pro Gaming,,Gaming,Cherry MX Blue,Red,False,Wired,Black
Filco Ninja Majestouch-2 TKL,,Standard,Cherry MX Red,,True,Wired,Black
Filco Ninja Majestouch-2 TKL,,Standard,Cherry MX Brown,,True,Wired,Black
Filco Ninja Majestouch-2 TKL,,Standard,Cherry MX Blue,,True,Wired,Black
Filco Ninja Majestouch-2 TKL,,Standard,Cherry MX Blue,,True,Wired,Black
Filco Ninja Majestouch-2 TKL,,Standard,Cherry MX Red,,True,Wired,Black
Filco Ninja Majestouch-2 TKL,,Standard,Cherry MX Red,,True,Wired,Black
Filco Ninja Majestouch-2 TKL,,Standard,Cherry MX Brown,,True,Wired,Black
Filco Ninja Majestouch-2 TKL,,Standard,Cherry MX Blue,,True,Wired,Black
Corsair K95 RGB PLATINUM DE,,Gaming,Cherry MX Brown,RGB,False,Wired,Black
Corsair K95 RGB PLATINUM UK,,Gaming,Cherry MX Speed Silver,RGB,False,Wired,Black
Corsair K95 RGB PLATINUM UK,,Gaming,Cherry MX Speed Silver,RGB,False,Wired,Gunmetal
HP HyperX Alloy FPS,,Standard,Cherry MX Brown,Red,False,Wired,Black
NOX Krom Kombat,,Gaming,,Orange,False,Wired,Black
NOX Krom Kratos,,Standard,Kailh Blue,Orange,False,Wired,Black
NOX Krom Kratos,,Gaming,Kailh Brown,Orange,False,Wired,Black
NOX Krom Kratos,,Gaming,Kailh Red,Orange,False,Wired,Black
NOX Krom Kratos RGB,,Gaming,Kailh Red,RGB,False,Wired,Black
NOX Krom Kratos TKL,,Gaming,Kailh Blue,Orange,False,Wired,Black
NOX Krom Kratos TKL,,Gaming,Kailh Brown,Orange,True,Wired,Black
NOX Krom Kratos TKL,,Gaming,Kailh Red,Orange,True,Wired,Black
G.Skill Ripjaws KM570 RGB,,Gaming,Cherry MX Blue,RGB,False,Wired,Black
G.Skill Ripjaws KM570 RGB,,Gaming,Cherry MX Brown,RGB,False,Wired,Black
G.Skill Ripjaws KM570 RGB,,Gaming,Cherry MX Red,RGB,False,Wired,Black
G.Skill Ripjaws KM570 RGB,,Gaming,Cherry MX Speed Silver,RGB,False,Wired,Black
G.Skill Ripjaws KM570,,Gaming,Cherry MX Speed Silver,Red,False,Wired,Black
Creative Labs Vanguard K08,,Gaming,PRES,RGB,False,Wired,Black
Plugable MECH87BW,,Standard,Outemu Blue,White,True,Wired,Black
Plugable MECH104BW,,Standard,Outemu Blue,White,False,Wired,Black
RIOTORO Ghostwriter Classic,,Gaming,,Multicolor,False,Wired,Black / Red
ROCCAT SOVA,,Gaming,,Blue,True,Wired,Black
AZIO Armato,,Gaming,Cherry MX Brown,Red,False,Wired,Black
Genius LuxeMate 100,,Mini,,,False,Wired,Black
IOGEAR GKB710L,,Standard,Kailh Blue,Blue,False,Wired,Black
Zalman ZM-K380 Combo,,Standard,,,False,Wired,Black
Gigabyte FORCE K83,,Standard,Cherry MX Blue,,False,Wired,Black
Cooler Master MasterSet MS120 (UK),,Gaming,,RGB,False,Wired,Black
Cooler Master MasterSet MS120 (FR),,Gaming,,RGB,False,Wired,Black
Cooler Master MasterSet MS120 (DE),,Gaming,,RGB,False,Wired,Black
Cooler Master MasterSet MS120 (ES),,Gaming,,RGB,False,Wired,Black
Cooler Master MasterKeys S (MX Red),,Gaming,Cherry MX Red,,True,Wired,Black
Cooler Master MasterKeys S (MX Blue),,Gaming,Cherry MX Blue,,True,Wired,Black
Cooler Master MasterKeys S (MX Green),,Gaming,Cherry MX Green,,True,Wired,Black
Cooler Master MasterKeys L (MX Brown),,Gaming,Cherry MX Brown,,False,Wired,Black
Cooler Master MasterKeys L (MX Red),,Gaming,Cherry MX Red,,False,Wired,Black
Cooler Master MasterKeys L,,Gaming,Cherry MX Blue,,False,Wired,Black
Cooler Master MasterKeys L (MX Green),,Gaming,Cherry MX Green,,False,Wired,Black
Cooler Master MasterKeys L (MX Speed Silver),,Gaming,Cherry MX Speed Silver,,False,Wired,Black
GALAX HOF Black Edition (MX Brown),,Gaming,Cherry MX Brown,White,False,Wired,Black
GALAX HOF Black Edition (MX Blue),,Gaming,Cherry MX Blue,White,False,Wired,Black
Mionix Wei,,Standard,Cherry MX Red,RGB,False,Wired,Black
Cougar 450K,,Gaming,,Multicolor,False,Wired,Black
Cougar DEATHFIRE,,Gaming,,Multicolor,False,Wired,Black
Cooler Master MasterKeys Pro S White (MX Blue),,Standard,Cherry MX Blue,White,True,Wired,Black
Cooler Master MasterKeys Pro S White (MX Red),,Standard,Cherry MX Red,White,True,Wired,Black
Cooler Master MasterKeys Pro S White (MX Speed Silver),,Standard,Cherry MX Speed Silver,White,True,Wired,Black
Cooler Master MasterKeys Pro M White (MX Blue),,Standard,Cherry MX Blue,White,False,Wired,
Cooler Master MasterKeys Pro M White (MX Red),,Standard,Cherry MX Red,White,False,Wired,Black
HP HyperX Alloy Elite,,Gaming,Cherry MX Blue,Red,False,Wired,Black
Trust GXT 280,,Gaming,,Red,False,Wired,Black
Tesoro Gram Spectrum (Black w/Blue Switches),,Gaming,Tesoro Agile Blue,RGB,False,Wired,Black
Tomoko CAAA1-CAAA1-VD,,Gaming,Outemu Blue,,False,Wired,Black
Jelly Comb MKJC0258,,Slim,,,False,Wireless,Black
Microsoft 3RA-00022,,Ergonomic,,,False,Bluetooth Wireless,Gray
Ducky Rainbow One White,,Standard,Cherry MX Black,,True,Wired,White
Ducky Rainbow One White,,Standard,Cherry MX Brown,,True,Wired,White
Ducky Rainbow One White,,Standard,Cherry MX Blue,,True,Wired,White
Ducky Rainbow One White,,Standard,Cherry MX Red,,True,Wired,White
Ducky Rainbow One White,,Standard,Cherry MX White,,True,Wired,White
Ducky Rainbow One White,,Standard,Cherry MX Speed Silver,,True,Wired,White
Ducky One Rainbow White,,Standard,Cherry MX Black,,False,Wired,White
Ducky One Rainbow White,,Standard,Cherry MX Blue,,False,Wired,White
Ducky One Rainbow White,,Standard,Cherry MX Red,,False,Wired,White
Ducky One Rainbow White,,Standard,Cherry MX Clear,,False,Wired,White
Ducky One Rainbow White,,Standard,Cherry MX Speed Silver,,False,Wired,White
Cooler Master MasterKeys Pro M RGB,,Gaming,Cherry MX Brown,RGB,False,Wired,Black
Cooler Master MasterKeys Pro M RGB,,Gaming,Cherry MX Red,RGB,False,Wired,Black
Cooler Master MasterKeys Pro M RGB,,Gaming,Cherry MX Speed Silver,RGB,False,Wired,Black
Ducky One,,Gaming,Cherry MX Brown,RGB,True,Wired,Black
SteelSeries Apex M750 UK,,Gaming,SteelSeries QX2 Red,RGB,False,Wired,Black
Ducky ONE 2 Skyline PBT Gaming Tastatur,,Gaming,Cherry MX Brown,,True,Wired,Black / Blue
Tecware Phantom RGB,,Gaming,Outemu Blue,RGB,False,Wired,Black
Tecware Phantom RGB TKL,,Gaming,Outemu Blue,RGB,True,Wired,Black
Ducky One 2 RGB TKL,,Standard,Cherry MX White,RGB,True,Wired,Black
Ducky One 2 RGB TKL,,Standard,Cherry MX Black,RGB,True,Wired,Black
Ducky One 2 RGB,,Standard,Cherry MX Black,RGB,False,Wired,Black
Corsair K68 RGB,,Gaming,Cherry MX Blue,RGB,False,Wired,Black
Microsoft Reclusa,,Gaming,,Blue,False,Wired,Black
Velocifire TKL01,,Standard,Outemu Brown,Blue,True,Wired,Black
Velocifire TKL02WS,,Standard,Outemu Brown,White,True,Wireless,Black
Rottay TH-419B,,Gaming,Outemu Brown,Multicolor,False,Wired,Black
Cooler Master CK530,,Gaming,Gateron Blue,RGB,True,Wired,Black
G.Skill RIPJAWS KM780 RGB,,Gaming,Cherry MX Blue,RGB,False,Wired,Black
Cooler Master MK850 (UK),,Gaming,Cherry MX Red,RGB,False,Wired,Black
Ducky One 2 (MX Black),,Gaming,Cherry MX Black,Blue,False,Wired,Black
Ducky One 2 (MX Red),,Gaming,Cherry MX Red,Blue,False,Wired,Black
Ducky One 2 (MX Speed Silver),,Gaming,Cherry MX Speed Silver,Blue,False,Wired,Black
Redragon K551-N,,Standard,Outemu Blue,,False,Wired,Black
Velocifire VM30,,Gaming,Kailh Black,Multicolor,False,Wired,Black / Silver
Velocifire VM01WS,,Standard,Outemu Brown,,False,Wireless,Black
Corsair K70 LUX (MX Blue),,Gaming,Cherry MX Blue,Red,False,Wired,Black
Drevo Tyrfing V2,,Gaming,Outemu Brown,RGB,False,Wired,Black
Drevo Tyrfing V2,,Gaming,Outemu Black,RGB,False,Wired,Black
Velocifire TKL71WS,,Gaming,Outemu Brown,Blue,True,Wireless,Black
Drevo BladeMaster PRO,,Gaming,Cherry MX Silent Red,RGB,True,Wireless,Gray
Drevo BladeMaster PRO,,Gaming,Cherry MX Silent Red,RGB,True,Wireless,Gray
Drevo BladeMaster PRO,,Gaming,Cherry MX Black,RGB,True,Wireless,Gray
Drevo BladeMaster PRO,,Gaming,Cherry MX Blue,RGB,True,Wireless,Gray
Drevo BladeMaster PRO,,Gaming,Cherry MX Speed Silver,RGB,True,Wireless,Gray
Drevo BladeMaster PRO,,Gaming,Cherry MX Blue,RGB,True,Wireless,Gray
Qwazar Red Shift,,Gaming,Cherry MX Red,Red,False,Wired,Black
Adesso AKB-133CB,,Standard,,,False,Wired,Black
Adesso AKB-150CB,,Ergonomic,,,False,Wired,Black
Adesso AKB-636UB,,Standard,Kailh Blue,,False,Wired,Black
Adesso WKB-1200CB,,Standard,,,False,Wireless,Black
Adesso AKB-630CB,,Standard,,,False,Wired,Black
Adesso AKB-136CB,,Gaming,,RGB,False,Wired,Black
Adesso AKB-150SB,,Ergonomic,,,False,Wired,Black
Acco Kensington 64406,43.75,Standard,,,False,Wired,White
iKBC CD108,,Gaming,Cherry MX Blue,,False,Wired,Black
iKBC CD108,,Gaming,Cherry MX Red,,False,Wired,Black
iKBC CD108,,Gaming,Cherry MX Clear,,False,Wired,Black
EVGA Z10 RGB,,Gaming,Kailh Blue,RGB,False,Wired,Black
EVGA Z10 RGB,,Gaming,Kailh Brown,RGB,False,Wired,Black
Aula Dzi SI-862,,Gaming,,Multicolor,False,Wired,Black
IOGEAR Kaliber Gaming MECHLITE,,Standard,Kailh Brown,Blue,False,Wired,Black
IOGEAR Kaliber Gaming MECHLITE,,Standard,Kailh Red,Blue,False,Wired,Black
IOGEAR GKM562R,,Slim,,,True,Wireless,Black
Buslink I-Rocks IRK77RP-BK,,Standard,,,False,Wireless,Black
MSI Vigor GK60,,Gaming,Cherry MX Red,Red,False,Wired,Black
Mionix Zibal 60,,Standard,Cherry MX Black,,False,Wired,Black
Microsoft 800,,Slim,,,False,Wireless,Black
HP Collaboration,,Slim,,,False,Wired,Black
Genius SlimStar 8008,,Slim,,,False,Wireless,Black
HP Link-5,,Slim,,,False,Wireless,Black
Cougar Aurora,,Gaming,,RGB,False,Wired,Black
Cougar Aurora S,,Gaming,,RGB,False,Wired,Black
V7 CKU200MX Spanish,,Standard,,,False,Wired,Black
SMK-Link VP3827,,Ergonomic,,,False,Wired,Black
SMK-Link VP6620,,Slim,,,False,Wireless,Silver / Black
SIIG JK-WR0J12-S1,,Gaming,,,False,Wireless,Black
Verbatim VER99789,35.64,Standard,,White,False,Wired,Black
SIIG JK-US0M12-S1,,Standard,,Multicolor,False,Wired,Silver / Black
SIIG JK-US0N12-S1,,Mini,,,True,Wired,Black
SIIG JK-WR0S12-S1,,Slim,,,True,Wireless,Black
Kodak TRUFORM 1150,,Ergonomic,,,True,Wireless,Black
Kodak TRUFORM 1500,,Ergonomic,,,True,Wireless,Black
Kodak TRUFORM 3500,,Ergonomic,,,False,Wireless,Black
Kodak TRUFORM 4500,,Ergonomic,,,False,Wireless,Black
SteelSeries Apex M750 TKL PUBG Edition,,Gaming,SteelSeries QX2 Red,RGB,True,Wired,Gray
ROCCAT Vulcan 100 AIMO,,Gaming,Roccat Titan Brown,RGB,False,Wired,Black
ROCCAT Vulcan 80,,Gaming,Roccat Titan Brown,Blue,False,Wired,Black
Rosewill K10,,Slim,,,False,Bluetooth Wireless,Silver / Black
Rosewill K10 S,,Slim,,,False,Bluetooth Wireless,Silver / White
FNATIC Streak RGB,,Gaming,Cherry MX Brown,RGB,False,Wired,Black
FNATIC Streak RGB,,Gaming,Cherry MX Silent Red,RGB,False,Wired,Black
FNATIC Streak RGB,,Gaming,Cherry MX Blue,RGB,False,Wired,Black
FNATIC miniSTREAK RGB,,Gaming,Cherry MX Blue,RGB,True,Wired,Black
Logitech MK520,,Standard,,,False,Wireless,Black
V7 CKW200MX,,Standard,,,False,Wireless,Black
V7 KU300US,,Standard,,,False,Wired,Black
Hcman Hcman H02,,Gaming,CK Blue,Multicolor,True,Wired,Black
DROP CTRL,,Gaming,Kailh BOX White,RGB,True,Wired,Silver / Black
EagleTec KG010-RGB,,Gaming,Outemu Blue,RGB,False,Wired,Black
EagleTec KG011-RGB,,Gaming,Outemu Blue,RGB,False,Wired,Silver / White
Rosewill RK-9300_BR,,Gaming,Cherry MX Brown,Blue,False,Wired,Black
Gigabyte XK700,,Gaming,TTC Red,RGB,False,Wired,Silver
Cougar ULTIMUS,,Gaming,TTC Blue,RGB,False,Wired,Black
Cougar ULTIMUS RGB,,Gaming,TTC Blue,RGB,False,Wired,Black
Cougar ULTIMUS RGB,,Gaming,TTC Red,RGB,False,Wired,Black
Cherry MX Board 5.0,,Gaming,Cherry MX Silent Red,White,False,Wired,Black / Silver
Tesoro GRAM SPECTRUM TKL,,Gaming,Tesoro Agile Red,RGB,True,Wired,Black
Tesoro GRAM SPECTRUM TKL,,Gaming,Tesoro Agile Red,RGB,True,Wired,White
Ducky Shine 7 Blackout RGB,,Gaming,Cherry MX Blue,RGB,False,Wired,Black
Ducky Shine 7 Blackout RGB,,Gaming,Cherry MX Black,RGB,False,Wired,Black
MK Night Typist,,Standard,Cherry MX Blue,White,False,Wired,Black
MK Night Typist,,Standard,Cherry MX Brown,White,False,Wired,Black
MK Night Typist,,Standard,Cherry MX Silent Red,White,False,Wired,Black
MK Night Typist,,Standard,Kailh BOX White,White,False,Wired,Black
Genius Scorpion K10,,Gaming,,RGB,False,Wired,Black
Ducky Ducky One 2,,Gaming,Cherry MX Black,Blue,True,Wired,Black
Ducky Ducky One 2,,Gaming,Cherry MX Blue,Blue,True,Wired,Black
Ducky Ducky One 2,,Gaming,Cherry MX Red,Blue,True,Wired,Black
Ducky Ducky One 2,,Gaming,Cherry MX Speed Silver,Blue,True,Wired,Black
Ducky Ducky One 2,,Gaming,Cherry MX Black,Blue,True,Wired,White
Ducky Ducky One 2,,Gaming,Cherry MX Brown,Blue,True,Wired,White
Ducky Ducky One 2,,Gaming,Cherry MX Blue,Blue,True,Wired,White
Ducky Ducky One 2,,Gaming,Cherry MX Speed Silver,Blue,True,Wired,White
Leopold FC750R Black PD,,Standard,Cherry MX Black,,False,Wired,Black
Leopold FC750R Black PD,,Standard,Cherry MX Blue,,False,Wired,Black
Leopold FC750R Black PD,,Standard,Cherry MX Clear,,False,Wired,Black
Mistel BAROCCO MD770,,Ergonomic,Cherry MX Blue,RGB,True,Wired,Black
matias FK318PCLBB,95.0,Standard,,Multicolor,False,Wired,Black
matias FK318PCLBB,,Standard,,Multicolor,False,Wired,Black
matias FK318PCLBB,,Standard,,Multicolor,False,Wired,Black
matias FK318PCLBB,,Standard,,Multicolor,False,Wired,Black
matias FK318PCLBB,,Standard,,Multicolor,False,Wired,Black
matias FK318PCLBB,,Standard,,Multicolor,False,Wired,Black
matias FK318PCLBB,,Standard,,Multicolor,False,Wired,Black
matias FK318PCLBB,,Standard,,Multicolor,False,Wired,Black
matias FK318PCLBB,,Standard,,Multicolor,False,Wired,Black
Asus ROG Strix Flare PNK LTD,,Gaming,Cherry MX Blue,RGB,False,Wired,Pink / White
Cherry Strait Black 3.0,,Standard,,,False,Wired,Black
Cherry Strait Black 3.0,,Standard,,,False,Wired,Black
