name,price,speed,modules,price_per_gb,color,first_word_latency,cas_latency
Patriot Signature Premium 16 GB,28.99,"[4, 2666]","[1, 16]",1.812,Black,14.254,19.0
Kingston ValueRAM 8 GB,24.34,"[4, 3200]","[1, 8]",3.042,,13.75,22.0
G.Skill Trident Z RGB 256 GB,,"[4, 3600]","[8, 32]",,,8.889,16.0
G.Skill Ripjaws V 128 GB,524.59,"[4, 4000]","[4, 32]",4.098,Black,9.0,18.0
G.Skill Ripjaws S5 32 GB,94.99,"[5, 5600]","[2, 16]",2.968,White,12.857,36.0
G.Skill Flare X 16 GB,39.99,"[4, 3200]","[2, 8]",2.499,Black,10.0,16.0
Kingston FURY Beast 64 GB,149.99,"[4, 3200]","[4, 16]",2.344,Black,10.0,16.0
G.Skill Ripjaws V 16 GB,40.99,"[4, 3000]","[2, 8]",2.562,Red / Black,10.667,16.0
Corsair Vengeance RGB Pro 256 GB,749.99,"[4, 3200]","[8, 32]",2.93,Black,10.0,16.0
G.Skill Trident Z Neo 128 GB,1201.06,"[4, 3600]","[8, 16]",9.383,Black / White,7.778,14.0
Corsair Dominator Platinum 8 GB,,"[3, 3200]","[2, 4]",,Black / Silver,8.125,13.0
Kingston ValueRAM 8 GB,26.67,"[4, 2400]","[1, 8]",3.334,Green,14.167,17.0
TEAMGROUP T-Force Xtreem ARGB 16 GB,,"[4, 3200]","[2, 8]",,Black,8.75,14.0
Mushkin Redline Lumina 32 GB,94.28,"[4, 3600]","[2, 16]",2.946,White,8.889,16.0
Corsair Dominator Platinum RGB 32 GB,164.99,"[5, 6000]","[2, 16]",5.156,Black,12.0,36.0
Kingston FURY Beast RGB 32 GB,79.99,"[4, 3200]","[2, 16]",2.5,Black / Silver,10.0,16.0
Kingston Renegade Silver 16 GB,96.29,"[5, 6400]","[1, 16]",6.018,Silver / Black,10.0,32.0
Corsair Vengeance LPX 16 GB,44.99,"[4, 2666]","[2, 8]",2.812,Black,12.003,16.0
G.Skill Value 8 GB,20.4,"[4, 2666]","[1, 8]",2.55,Black,14.254,19.0
PNY XLR8 Gaming EPIC-X RGB 8 GB,24.99,"[4, 3200]","[1, 8]",3.124,Black,10.0,16.0
Kingston Server Premier 32 GB,246.95,"[4, 3200]","[1, 32]",7.717,,13.75,22.0
TEAMGROUP T-Force Delta RGB 32 GB,199.99,"[4, 3600]","[2, 16]",6.25,Black,7.778,14.0
Mushkin Enhanced Redline 64 GB,197.99,"[5, 5600]","[2, 32]",3.094,Black,10.0,28.0
Corsair Vengeance 16 GB,69.98,"[5, 4800]","[2, 8]",4.374,Black / White,16.667,40.0
Corsair Vengeance RGB 48 GB,169.99,"[5, 6000]","[2, 24]",3.541,Black,12.0,36.0
G.Skill Trident Z5 RGB 32 GB,,"[5, 5200]","[2, 16]",,White / Black,13.846,36.0
Kingston FURY Beast 8 GB,41.51,"[5, 4800]","[1, 8]",5.189,Black,15.833,38.0
Silicon Power SP016GBLFU320X22 16 GB,,"[4, 3200]","[2, 8]",,,13.75,22.0
Corsair Dominator Platinum RGB 16 GB,84.99,"[4, 3200]","[2, 8]",5.312,Black,10.0,16.0
G.Skill Trident Z RGB 64 GB,499.74,"[4, 3600]","[4, 16]",7.808,Black,7.778,14.0
Corsair Dominator Platinum RGB 32 GB,154.99,"[4, 4000]","[2, 16]",4.843,Black,9.0,18.0
Lexar Ares RGB 16 GB,54.99,"[4, 4000]","[2, 8]",3.437,White,9.0,18.0
TEAMGROUP T-Force Zeus 32 GB,50.99,"[4, 3200]","[2, 16]",1.593,Red / Black,10.0,16.0
Mushkin Redline Lumina 16 GB,59.87,"[4, 3600]","[2, 8]",3.742,Black,7.778,14.0
G.Skill Trident Z5 32 GB,97.99,"[5, 5600]","[2, 16]",3.062,Black,12.857,36.0
ADATA XPG LANCER RGB 16 GB,98.0,"[5, 6000]","[1, 16]",6.125,White,13.333,40.0
Kingston FURY Renegade 16 GB,55.2,"[4, 3200]","[2, 8]",3.45,Black,10.0,16.0
G.Skill Ripjaws V 16 GB,74.99,"[4, 4400]","[2, 8]",4.687,Black,8.182,18.0
Corsair Vengeance RGB Pro 64 GB,564.79,"[4, 4000]","[2, 32]",8.825,Black,9.0,18.0
G.Skill Zeta R5 128 GB,1099.99,"[5, 6400]","[8, 16]",8.594,Black / White,10.0,32.0
ADATA XPG SPECTRIX D60G 16 GB,,"[4, 3600]","[2, 8]",,Silver / Black,9.444,17.0
Crucial Ballistix 16 GB,,"[4, 3600]","[2, 8]",,White,8.889,16.0
Mushkin Redline Lumina 64 GB,167.99,"[4, 3600]","[2, 32]",2.625,Black,8.889,16.0
Corsair Vengeance 64 GB,154.99,"[5, 4800]","[2, 32]",2.422,Black / White,16.667,40.0
TEAMGROUP T-Create Classic 32 GB,45.99,"[4, 3200]","[2, 16]",1.437,Silver / Black,13.75,22.0
Crucial CT32G52C42U5 32 GB,94.99,"[5, 5200]","[1, 32]",2.968,Black,16.154,42.0
Corsair Vengeance LPX 16 GB,39.99,"[4, 2400]","[1, 16]",2.499,Black,11.667,14.0
Corsair Vengeance LPX 128 GB,349.99,"[4, 3200]","[8, 16]",2.734,Black,10.0,16.0
Kingston HyperX Fury 32 GB,,"[4, 3600]","[2, 16]",,Black,10.0,18.0
ADATA XPG SPECTRIX D60G 32 GB,,"[4, 3600]","[2, 16]",,White,10.0,18.0
Corsair Dominator Platinum RGB 64 GB,274.99,"[4, 3600]","[4, 16]",4.297,Black,8.889,16.0
ADATA XPG Z1 32 GB,,"[4, 3200]","[2, 16]",,Silver,10.0,16.0
ADATA Premier 16 GB,43.98,"[5, 4800]","[1, 16]",2.749,Black,16.667,40.0
PNY XLR8 16 GB,39.99,"[4, 2666]","[2, 8]",2.499,Black / Red,12.003,16.0
Kingston FURY 16 GB,,"[4, 2400]","[2, 8]",,Black / Silver,12.5,15.0
G.Skill Flare X5 96 GB,269.99,"[5, 5600]","[2, 48]",2.812,Black,14.286,40.0
G.Skill Ripjaws S5 32 GB,106.99,"[5, 6000]","[2, 16]",3.343,White,10.667,32.0
G.Skill Trident Z RGB 64 GB,219.99,"[4, 3200]","[2, 32]",3.437,,8.75,14.0
Corsair Vengeance LPX 32 GB,69.98,"[4, 2400]","[2, 16]",2.187,Black / Yellow,13.333,16.0
Kingston FURY Beast 16 GB,63.71,"[5, 5600]","[1, 16]",3.982,Black,14.286,40.0
Crucial CT2KIT25664AA800 4 GB,31.49,"[2, 800]","[2, 2]",7.872,Green,15.0,6.0
G.Skill Trident Z Royal 256 GB,674.99,"[4, 3600]","[8, 32]",2.637,Silver,10.0,18.0
Kingston FURY Beast RGB 8 GB,29.99,"[4, 3600]","[1, 8]",3.749,Black / Silver,9.444,17.0
Apacer ZADAK Twist 16 GB,,"[4, 3000]","[2, 8]",,Black / Silver,10.667,16.0
TEAMGROUP T-Force Vulcan Z 32 GB,72.98,"[4, 4000]","[2, 16]",2.281,Red,9.0,18.0
Klevv CRAS X RGB 32 GB,71.98,"[4, 3600]","[2, 16]",2.249,Black,10.0,18.0
G.Skill Trident Z RGB 16 GB,59.99,"[4, 3600]","[2, 8]",3.749,Black,10.0,18.0
Patriot Viper Elite II 32 GB,57.99,"[4, 3600]","[1, 32]",1.812,Red / Black,11.111,20.0
TEAMGROUP T-Force Delta RGB 16 GB,75.72,"[4, 3200]","[2, 8]",4.732,Black,10.0,16.0
Kingston FURY Beast RGB 64 GB,217.11,"[5, 4800]","[2, 32]",3.392,Black,15.833,38.0
Crucial CT4G4DFS8213 4 GB,16.0,"[4, 2133]","[1, 4]",4.0,Black / Green,14.065,15.0
Gigabyte AORUS RGB 16 GB,139.99,"[4, 3333]","[2, 8]",8.749,Gray,10.801,18.0
Corsair Vengeance 64 GB,,"[5, 5600]","[2, 32]",,Black,12.857,36.0
G.Skill Trident Z5 RGB 64 GB,,"[5, 5600]","[2, 32]",,Black,10.0,28.0
Lexar Hades RGB 16 GB,,"[4, 3200]","[2, 8]",,Black,11.25,18.0
G.Skill Trident Z Royal 128 GB,,"[4, 3600]","[8, 16]",,Silver,7.778,14.0
TEAMGROUP T-Force Vulcan Z 32 GB,169.99,"[4, 3600]","[2, 16]",5.312,Gray,7.778,14.0
G.Skill Ripjaws V 32 GB,205.79,"[4, 3600]","[2, 16]",6.431,Black,7.778,14.0
G.Skill Trident Z Royal 16 GB,89.99,"[4, 3600]","[2, 8]",5.624,Silver,8.889,16.0
Corsair Vengeance RGB Pro SL 32 GB,119.99,"[4, 3200]","[4, 8]",3.75,Black,10.0,16.0
Kingston Fury Renegade RGB 32 GB,136.01,"[4, 3600]","[4, 8]",4.25,Black / Silver,8.889,16.0
Corsair Vengeance RGB RT 16 GB,69.98,"[4, 3600]","[2, 8]",4.374,White / Black,10.0,18.0
OLOy Blade RGB 16 GB,95.99,"[5, 5600]","[2, 8]",5.999,Black,14.286,40.0
Corsair Vengeance LPX 8 GB,129.0,"[4, 3000]","[2, 4]",16.125,Black / Yellow,10.667,16.0
Corsair Dominator Platinum RGB 32 GB,159.99,"[5, 6000]","[2, 16]",5.0,Black,12.0,36.0
Kingston KSM48R40BD4TMM-64HMR 64 GB,289.99,"[5, 4800]","[1, 64]",4.531,Green,16.667,40.0
GeIL Orion RGB AMD Edition 32 GB,69.99,"[4, 3600]","[2, 16]",2.187,Red,10.0,18.0
Kingston FURY Renegade 32 GB,88.67,"[4, 3200]","[2, 16]",2.771,Black,10.0,16.0
G.Skill Ripjaws X 32 GB,,"[3, 1600]","[4, 8]",,Black / Blue,11.25,9.0
Corsair CORSAIR Vengeance LPX 64GB (4 x 16GB) 288-Pin DDR4 SDRAM DDR4 4000 (PC4 32000) Intel XMP 2.0 Desktop Memory Model CMK64GX4M4X4000C18 64 GB,799.28,"[4, 4000]","[4, 16]",12.489,Black / Yellow,9.0,18.0
G.Skill Trident Z5 32 GB,97.99,"[5, 5600]","[2, 16]",3.062,Silver / Black,12.857,36.0
Patriot Viper Elite II 16 GB,28.99,"[4, 3200]","[1, 16]",1.812,Red / Black,11.25,18.0
G.Skill Trident Z Royal 32 GB,,"[4, 3200]","[2, 16]",,Gold,10.0,16.0
TEAMGROUP T-Force Vulcan Z 16 GB,36.23,"[4, 3200]","[1, 16]",2.264,Gray,10.0,16.0
Corsair Vengeance RGB RS 8 GB,29.99,"[4, 3200]","[1, 8]",3.749,Black / Gray,10.0,16.0
Crucial Ballistix 16 GB,,"[4, 3200]","[2, 8]",,Black,10.0,16.0
Corsair Vengeance 16 GB,,"[3, 1600]","[4, 4]",,Black / Yellow,11.25,9.0
GeIL Orion RGB AMD Edition 32 GB,62.99,"[4, 3200]","[2, 16]",1.968,Gray,10.0,16.0
G.Skill Trident Z 32 GB,101.09,"[4, 3200]","[2, 16]",3.159,Black / White,10.0,16.0
Patriot Viper Steel 32 GB,58.99,"[4, 3200]","[1, 32]",1.843,Gray,10.0,16.0
Patriot Signature 8 GB,14.99,"[3, 1600]","[1, 8]",1.874,Blue / Silver,13.75,11.0
Crucial MTA18ASF4G72AZ-3G2B1 32 GB,139.99,"[4, 3200]","[1, 32]",4.375,Green,13.75,22.0
Crucial Ballistix 64 GB,,"[4, 3600]","[2, 32]",,Black,8.889,16.0
Corsair Vengeance LPX 32 GB,,"[4, 3000]","[2, 16]",,Black / Yellow,10.0,15.0
G.Skill Trident Z5 Neo 32 GB,114.99,"[5, 6000]","[2, 16]",3.593,Black,10.667,32.0
TEAMGROUP T-Force Vulcan Z 64 GB,117.99,"[4, 3600]","[2, 32]",1.844,Gray,10.0,18.0
Kingston Fury Beast RGB Special Edition 16 GB,67.02,"[4, 3200]","[2, 8]",4.189,White,10.0,16.0
TEAMGROUP Elite 8 GB,22.99,"[5, 5200]","[1, 8]",2.874,Black,16.154,42.0
Corsair Dominator Platinum RGB 32 GB,164.99,"[4, 3200]","[4, 8]",5.156,Black,10.0,16.0
TEAMGROUP T-Force Delta TUF Gaming Alliance RGB 32 GB,95.99,"[5, 5200]","[2, 16]",3.0,Black,15.385,40.0
Corsair Vengeance RGB 48 GB,164.99,"[5, 5600]","[2, 24]",3.437,Black,14.286,40.0
Corsair Vengeance RGB RT 32 GB,99.99,"[4, 3200]","[2, 16]",3.125,White / Black,10.0,16.0
Patriot Viper Elite II 16 GB,36.99,"[4, 3600]","[2, 8]",2.312,Red / Black,11.111,20.0
G.Skill Trident Z5 Neo RGB 96 GB,297.99,"[5, 5600]","[2, 48]",3.104,Black,14.286,40.0
G.Skill Trident Z RGB 128 GB,289.99,"[4, 3200]","[4, 32]",2.266,Black,10.0,16.0
Silicon Power SP016GBLTU160ND2J7 16 GB,23.99,"[3, 1600]","[2, 8]",1.499,Gray,13.75,11.0
Corsair Dominator Platinum RGB 16 GB,79.98,"[4, 3200]","[2, 8]",4.999,White,10.0,16.0
Patriot Signature Line 8 GB,16.48,"[4, 2400]","[1, 8]",2.06,Green / Black,14.167,17.0
G.Skill Trident Z Royal Elite 64 GB,305.63,"[4, 4266]","[2, 32]",4.775,Gold,8.908,19.0
G.Skill Trident Z Neo 256 GB,609.99,"[4, 3600]","[8, 32]",2.383,Silver / Black,10.0,18.0
Kingston Server Premier 32 GB,298.98,"[4, 2933]","[1, 32]",9.343,,14.32,21.0
Silicon Power SP004GBLFU266X02 4 GB,,"[4, 2666]","[1, 4]",,,14.254,19.0
Corsair Vengeance LPX 64 GB,149.99,"[4, 2400]","[4, 16]",2.344,Black / Yellow,11.667,14.0
PROXMEM KERBEROS 32 GB,79.98,"[5, 5200]","[2, 16]",2.499,Black / Silver,15.385,40.0
G.Skill Trident Z RGB 16 GB,163.65,"[4, 4400]","[2, 8]",10.228,Black,7.273,16.0
TEAMGROUP T-Force Vulcan 64 GB,184.99,"[5, 6000]","[2, 32]",2.89,Black,12.667,38.0
G.Skill Ripjaws V 32 GB,63.99,"[4, 3200]","[2, 16]",2.0,Red,10.0,16.0
Patriot Viper Steel RGB 8 GB,25.49,"[4, 3600]","[1, 8]",3.186,Black,11.111,20.0
PNY XLR8 Gaming MAKO 16 GB,,"[5, 6000]","[1, 16]",,Black / Silver,12.0,36.0
G.Skill Ripjaws V 32 GB,134.69,"[4, 3200]","[4, 8]",4.209,Black,10.0,16.0
Kingston HyperX Fury 16 GB,154.9,"[3, 1866]","[2, 8]",9.681,White / Silver,10.718,10.0
Crucial Ballistix Sport LT 16 GB,,"[4, 2400]","[2, 8]",,Gray,13.333,16.0
Corsair Vengeance RGB 32 GB,,"[5, 5600]","[2, 16]",,Black,14.286,40.0
G.Skill Trident Z Neo 64 GB,147.99,"[4, 3200]","[2, 32]",2.312,Black / Silver,10.0,16.0
G.Skill Trident Z RGB 16 GB,56.99,"[4, 3200]","[2, 8]",3.562,Black,10.0,16.0
Corsair Vengeance 48 GB,144.99,"[5, 5200]","[2, 24]",3.021,Black,14.615,38.0
Kingston FURY Beast RGB 32 GB,134.99,"[5, 5200]","[2, 16]",4.218,Black,13.846,36.0
G.Skill Ripjaws V 64 GB,,"[4, 4400]","[2, 32]",,Black,8.636,19.0
Patriot Signature Line 8 GB,24.99,"[5, 4800]","[1, 8]",3.124,Black,16.667,40.0
Kingston HyperX Fury 4 GB,,"[3, 1600]","[1, 4]",,Blue / Silver,12.5,10.0
TEAMGROUP T-Create Expert 32 GB,104.99,"[5, 6000]","[2, 16]",3.281,White,10.0,30.0
Corsair Dominator Platinum RGB 32 GB,354.0,"[4, 4000]","[2, 16]",11.062,Black,8.0,16.0
Mushkin Redline Lumina 16 GB,45.99,"[4, 3600]","[2, 8]",2.874,Black,10.0,18.0
TEAMGROUP T-Force Delta RGB 32 GB,159.99,"[5, 7000]","[2, 16]",5.0,Black / Silver,9.714,34.0
Kingston FURY Renegade 32 GB,149.62,"[4, 4266]","[2, 16]",4.676,Black,8.908,19.0
Corsair Dominator Platinum 32 GB,,"[4, 2400]","[4, 8]",,Black / Silver,12.5,15.0
G.Skill NT 16 GB,95.87,"[4, 2133]","[2, 8]",5.992,Black,14.065,15.0
Patriot Viper Steel RGB 32 GB,,"[4, 3200]","[2, 16]",,Black,11.25,18.0
TEAMGROUP Elite 16 GB,49.99,"[5, 6000]","[1, 16]",3.124,Black,16.0,48.0
Kingston FURY 16 GB,80.11,"[5, 5600]","[1, 16]",5.007,White,14.286,40.0
ADATA XPG SPECTRIX D41 16 GB,,"[4, 3000]","[2, 8]",,Black,10.667,16.0
G.Skill Trident Z5 64 GB,216.99,"[5, 6000]","[2, 32]",3.39,Black,10.667,32.0
Mushkin Enhanced Redline Stiletto 32 GB,79.99,"[4, 4000]","[2, 16]",2.5,Black,9.0,18.0
G.Skill Trident Z Royal 64 GB,219.99,"[4, 3600]","[2, 32]",3.437,Silver,8.889,16.0
TEAMGROUP Elite Plus 64 GB,147.99,"[5, 4800]","[2, 32]",2.312,Silver,16.667,40.0
PNY XLR8 Gaming EPIC-X RGB 16 GB,65.99,"[4, 4400]","[2, 8]",4.124,Black,8.636,19.0
G.Skill Aegis 16 GB,29.99,"[4, 3000]","[1, 16]",1.874,Red / Black,10.667,16.0
Corsair Vengeance LPX 64 GB,134.99,"[4, 2666]","[2, 32]",2.109,Black / Yellow,12.003,16.0
Kingston FURY Beast 16 GB,60.09,"[5, 4800]","[1, 16]",3.756,Black / Silver,15.833,38.0
G.Skill NT 16 GB,96.0,"[4, 2400]","[2, 8]",6.0,Black,12.5,15.0
V-Color Prism Pro 32 GB,78.99,"[4, 3600]","[2, 16]",2.468,Black,10.0,18.0
Corsair Vengeance RGB 64 GB,273.13,"[5, 5600]","[2, 32]",4.268,Black / Gray,14.286,40.0
Corsair Vengeance Pro 32 GB,,"[3, 2800]","[4, 8]",,Black / Red,8.571,12.0
G.Skill Trident Z Neo 32 GB,245.99,"[4, 3600]","[2, 16]",7.687,Black / White,7.778,14.0
G.Skill Trident Z5 64 GB,216.99,"[5, 6000]","[2, 32]",3.39,Silver / Black,10.667,32.0
Corsair Dominator Platinum RGB 32 GB,154.99,"[5, 5600]","[2, 16]",4.843,Black / Silver,12.857,36.0
Patriot Viper Steel RGB 16 GB,,"[4, 3200]","[1, 16]",,Black,11.25,18.0
TEAMGROUP T-Force Delta TUF Gaming Alliance 16 GB,44.99,"[4, 3200]","[2, 8]",2.812,Black / Gold,10.0,16.0
G.Skill Ripjaws V 32 GB,,"[4, 4000]","[4, 8]",,Red,9.0,18.0
TEAMGROUP T-Force Delta RGB 64 GB,189.99,"[5, 5600]","[2, 32]",2.969,Black / Silver,12.857,36.0
GeIL Dragon RAM 32 GB,,"[4, 3000]","[2, 16]",,White / Gold,10.0,15.0
Corsair Vengeance RGB RT 32 GB,129.99,"[4, 4000]","[2, 16]",4.062,Black,9.0,18.0
G.Skill Ares 16 GB,56.32,"[3, 2400]","[2, 8]",3.52,Black / Blue,9.167,11.0
Silicon Power XPOWER Gaming 16 GB,,"[4, 3000]","[2, 8]",,Black / Silver,10.667,16.0
Kingston Server Premier 16 GB,49.99,"[4, 3200]","[1, 16]",3.124,,13.75,22.0
Corsair Vengeance 8 GB,39.99,"[3, 1600]","[1, 8]",4.999,Black / Silver,12.5,10.0
Corsair Vengeance RGB Pro SL 256 GB,699.99,"[4, 3200]","[8, 32]",2.734,Black,10.0,16.0
G.Skill Aegis 8 GB,26.35,"[4, 2400]","[2, 4]",3.294,Black / Red,12.5,15.0
Crucial Ballistix Sport LT 8 GB,,"[4, 2666]","[2, 4]",,White / Silver,12.003,16.0
GeIL SUPER LUCE RGB 16 GB,,"[4, 3200]","[2, 8]",,Black,10.0,16.0
G.Skill Trident Z Royal Elite 32 GB,,"[4, 3600]","[2, 16]",,Silver,8.889,16.0
G.Skill Ripjaws V 128 GB,369.99,"[4, 3600]","[4, 32]",2.891,Red,8.889,16.0
Timetec FBA_75TT160UL1R8-4G 16 GB,16.98,"[3, 1600]","[2, 8]",1.061,Black,13.75,11.0
Kingston FURY Beast RGB 64 GB,233.99,"[5, 5600]","[2, 32]",3.656,Black,12.857,36.0
G.Skill Value 16 GB,43.22,"[3, 1600]","[2, 8]",2.701,Black,13.75,11.0
Timetec PINNACLE Konduit RGB 16 GB,36.99,"[4, 3200]","[1, 16]",2.312,White,10.0,16.0
G.Skill Trident Z5 RGB 32 GB,139.99,"[5, 6600]","[2, 16]",4.375,Black,10.303,34.0
Kingston FURY Beast RGB 32 GB,124.99,"[5, 6000]","[1, 32]",3.906,Black,13.333,40.0
G.Skill Ripjaws 16 GB,61.8,"[4, 2400]","[4, 4]",3.862,Black / Red,12.5,15.0
Corsair Vengeance RGB Pro 256 GB,664.99,"[4, 3200]","[8, 32]",2.598,White,10.0,16.0
G.Skill Value 8 GB,19.85,"[3, 1333]","[2, 4]",2.481,Green,13.503,9.0
Corsair Dominator Platinum RGB 32 GB,,"[5, 4800]","[2, 16]",,Black,16.667,40.0
TEAMGROUP T-Force Vulcan Z 16 GB,,"[4, 3000]","[2, 8]",,Gray,10.667,16.0
G.Skill Trident Z5 Neo 32 GB,109.99,"[5, 5600]","[2, 16]",3.437,Black,10.714,30.0
Corsair Vengeance RGB Pro SL 64 GB,339.99,"[4, 4000]","[2, 32]",5.312,Black,9.0,18.0
Silicon Power XPOWER Zenith Gaming 64 GB,188.98,"[5, 5600]","[2, 32]",2.953,White,14.286,40.0
TEAMGROUP T-Force Dark Za 32 GB,191.31,"[4, 3200]","[2, 16]",5.978,Black,10.0,16.0
Corsair Vengeance RGB 96 GB,294.99,"[5, 5200]","[2, 48]",3.073,Black,14.615,38.0
Corsair Vengeance 64 GB,179.99,"[5, 5600]","[2, 32]",2.812,White / Gray,14.286,40.0
Corsair Vengeance LPX 16 GB,139.89,"[4, 3000]","[2, 8]",8.743,Red,10.0,15.0
TEAMGROUP T-Force Vulcan Z 16 GB,33.99,"[4, 3200]","[2, 8]",2.124,Red,10.0,16.0
Mushkin Proline 16 GB,42.88,"[4, 3200]","[1, 16]",2.68,,13.75,22.0
TEAMGROUP Elite Plus 32 GB,,"[5, 5600]","[2, 16]",,Silver,14.286,40.0
Mushkin Redline 32 GB,97.99,"[5, 6000]","[2, 16]",3.062,Black,12.0,36.0
Kingston FURY Beast 64 GB,174.41,"[4, 3600]","[4, 16]",2.725,Black,10.0,18.0
Crucial CT16G4WFD8213 16 GB,95.0,"[4, 2133]","[1, 16]",5.938,Green,14.065,15.0
Patriot Viper Steel 32 GB,59.99,"[4, 3600]","[1, 32]",1.875,Gray,10.0,18.0
Kingston FURY Beast 32 GB,111.87,"[4, 3733]","[2, 16]",3.496,Black,10.179,19.0
Gigabyte AORUS RGB 16 GB,140.9,"[4, 4400]","[2, 8]",8.806,Black,9.091,20.0
GeIL EVO SPEAR 16 GB,49.99,"[4, 3000]","[2, 8]",3.124,Black / Orange,10.667,16.0
Kingston ValueRAM 2 GB,16.91,"[2, 800]","[1, 2]",8.455,Green,15.0,6.0
G.Skill Trident Z RGB 32 GB,,"[4, 4000]","[2, 16]",,Black,7.0,14.0
G.Skill Trident Z RGB 8 GB,,"[4, 3200]","[1, 8]",,Black,10.0,16.0
TEAMGROUP Elite 16 GB,28.99,"[4, 3200]","[2, 8]",1.812,Black,13.75,22.0
Corsair Vengeance LPX 32 GB,67.99,"[4, 3600]","[2, 16]",2.125,Red,10.0,18.0
Patriot Viper Elite II 32 GB,54.99,"[4, 3200]","[1, 32]",1.718,Red / Black,11.25,18.0
TEAMGROUP T-Force Delta RGB 16 GB,114.99,"[4, 3600]","[2, 8]",7.187,Black,7.778,14.0
V-Color Manta XPrism RGB 64 GB,239.99,"[5, 6000]","[2, 32]",3.75,Silver,11.333,34.0
PNY XLR8 Gaming EPIC-X RGB 16 GB,59.99,"[4, 4200]","[2, 8]",3.749,Black,9.048,19.0
TEAMGROUP Elite Plus 16 GB,45.99,"[5, 5600]","[1, 16]",2.874,Black,14.286,40.0
Silicon Power SP008GBLFU266X02 8 GB,,"[4, 2666]","[1, 8]",,,14.254,19.0
G.Skill Trident Z RGB 32 GB,114.99,"[4, 3200]","[4, 8]",3.593,Black,10.0,16.0
Crucial Ballistix MAX RGB 16 GB,199.41,"[4, 4000]","[2, 8]",12.463,Black,9.0,18.0
Crucial CT8G4DFS832A 8 GB,31.33,"[4, 3200]","[1, 8]",3.916,Green / Black,13.75,22.0
Kingston Server Premier 8 GB,29.75,"[4, 2666]","[1, 8]",3.719,,14.254,19.0
Corsair CORSAIR Vengeance LED 16GB (2 x 8GB) 288-Pin DDR4 SDRAM DDR4 3000 (PC4 24000) Desktop Memory Model CMU16GX4M2C3000C16R 16 GB,,"[4, 3000]","[2, 8]",,Black,10.667,16.0
Corsair Vengeance LPX 32 GB,,"[4, 3000]","[4, 8]",,Black,10.667,16.0
ADATA XPG SPECTRIX D41 8 GB,,"[4, 3000]","[1, 8]",,Black / White,10.667,16.0
Silicon Power GAMING 32 GB,,"[4, 3200]","[2, 16]",,Red / Black,10.0,16.0
Corsair Vengeance RGB Pro SL 64 GB,189.99,"[4, 3200]","[4, 16]",2.969,Black,10.0,16.0
G.Skill Trident Z Neo 16 GB,115.9,"[4, 3600]","[2, 8]",7.244,Silver / Black,8.889,16.0
G.Skill Ripjaws S5 48 GB,149.99,"[5, 6000]","[2, 24]",3.125,Black,13.333,40.0
G.Skill Ripjaws S5 64 GB,189.99,"[5, 5600]","[2, 32]",2.969,Black,10.714,30.0
G.Skill Trident Z Royal 32 GB,229.0,"[4, 3600]","[2, 16]",7.156,Silver,8.889,16.0
Samsung M393A2G40DB0-CPB 16 GB,51.49,"[4, 2133]","[1, 16]",3.218,Black / Green,14.065,15.0
G.Skill Trident Z Royal 128 GB,345.99,"[4, 3600]","[4, 32]",2.703,Silver,10.0,18.0
Corsair Vengeance 32 GB,119.99,"[5, 6200]","[2, 16]",3.75,Black,11.613,36.0
Kingston FURY Beast RGB 64 GB,164.58,"[4, 3200]","[2, 32]",2.572,Black,10.0,16.0
TEAMGROUP Elite 32 GB,54.99,"[4, 2666]","[2, 16]",1.718,Black,14.254,19.0
Kingston FURY 16 GB,72.06,"[5, 5200]","[1, 16]",4.504,White,15.385,40.0
G.Skill Trident Z RGB 64 GB,387.62,"[4, 3200]","[4, 16]",6.057,Black,8.75,14.0
Kingston KCP426NS8/8 8 GB,24.37,"[4, 2666]","[1, 8]",3.046,Green / Black,14.254,19.0
Crucial Ballistix 16 GB,,"[4, 2666]","[2, 8]",,Black,12.003,16.0
G.Skill Trident Z Royal 128 GB,737.0,"[4, 3600]","[4, 32]",5.758,Gold,8.889,16.0
Kingston KVR13N9K2/16 16 GB,118.97,"[3, 1333]","[2, 8]",7.436,Green,13.503,9.0
Crucial CT4G4DFS8266 4 GB,14.58,"[4, 2666]","[1, 4]",3.645,Green / Black,14.254,19.0
Samsung MV-3V4G3D/US 8 GB,306.36,"[3, 1600]","[2, 4]",38.295,Black,13.75,11.0
HP V6 16 GB,,"[4, 3200]","[2, 8]",,Black,10.0,16.0
TEAMGROUP Elite 8 GB,14.99,"[4, 3200]","[1, 8]",1.874,Black,13.75,22.0
Patriot Venom RGB 32 GB,112.99,"[5, 6200]","[2, 16]",3.531,Black / White,12.903,40.0
Kingston Fury Renegade RGB 16 GB,114.6,"[5, 6400]","[1, 16]",7.162,Silver / Black,10.0,32.0
Samsung M393A2G40EB1-CRC 16 GB,26.49,"[4, 2400]","[1, 16]",1.656,Black / Green,14.167,17.0
Corsair Vengeance RGB Pro 32 GB,99.99,"[4, 2933]","[2, 16]",3.125,Black,10.91,16.0
Patriot Viper Steel 16 GB,37.99,"[4, 3000]","[2, 8]",2.374,Silver / Black,10.667,16.0
Kingston ValueRAM 64 GB,249.99,"[4, 2133]","[4, 16]",3.906,Black / Green,14.065,15.0
Crucial CT16G4DFD8266 16 GB,56.61,"[4, 2666]","[1, 16]",3.538,Green / Black,14.254,19.0
