name,price,capacity,price_per_gb,type,cache,form_factor,interface
ADATA Falcon,,512.0,,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Western Digital Green,82.53,240.0,0.344,SSD,,M.2-2280,M.2 SATA
Kingston Q500,18.5,120.0,0.154,SSD,,2.5,SATA 6.0 Gb/s
Kingston KC2500,,500.0,,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Toshiba HDD3B04,,1000.0,,7200,64.0,3.5,SAS 6.0 Gb/s
ADATA Premier SP550,,240.0,,SSD,,2.5,SATA 6.0 Gb/s
Corsair Force LE,,240.0,,SSD,,2.5,SATA 6.0 Gb/s
Corsair Force MP500,,120.0,,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Gigabyte AORUS,,1000.0,,SSD,,PCIe,PCIe x4
Inland 2TB NVME PREMIUM,,2000.0,,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Inland Premium,,256.0,,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Western Digital Purple Surveillance,77.99,3000.0,0.026,5400,256.0,3.5,SATA 6.0 Gb/s
ADATA LEGEND 960 MAX,299.99,4000.0,0.075,SSD,,M.2-2280,M.2 PCIe 4.0 X4
ADATA XPG GAMMIX S50 Lite,159.99,2000.0,0.08,SSD,,M.2-2280,M.2 PCIe 4.0 X4
TEAMGROUP MP44,114.99,2000.0,0.057,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Inland Platinum,379.99,4000.0,0.095,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Transcend MTS600,36.64,32.0,1.145,SSD,,M.2-2260,M.2 SATA
Corsair MP600 CORE,,4000.0,,SSD,,M.2-2280,M.2 PCIe 4.0 X4
SanDisk Ultra II,127.58,240.0,0.532,SSD,,2.5,SATA 6.0 Gb/s
Seagate EE25.2,19.0,40.0,0.475,5400,8.0,2.5,SATA 3.0 Gb/s
HP EX920,69.98,256.0,0.273,SSD,256.0,M.2-2280,M.2 PCIe 3.0 X4
PNY CS2140,45.11,500.0,0.09,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Netac NV2000,,512.0,,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Western Digital Blue,,4000.0,,,64.0,3.5,SATA 6.0 Gb/s
Kingston A400,,480.0,,SSD,,M.2-2280,M.2 SATA
Patriot P310,36.99,960.0,0.039,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Western Digital Black SN750 SE,43.9,250.0,0.176,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Enmotus FuzeDrive,,900.0,,SSD,24576.0,M.2-2280,M.2 PCIe 3.0 X4
Western Digital Blue,115.0,1000.0,0.115,SSD,,2.5,SATA 6.0 Gb/s
Silicon Power UD85,,250.0,,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Seagate ST2000NX0253,169.85,2000.0,0.085,7200,128.0,2.5,SATA 6.0 Gb/s
HP EX900,41.99,120.0,0.35,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Corsair MP400,,8000.0,,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Silicon Power UD90,,500.0,,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Seagate Pipeline HD,,500.0,,5900,8.0,3.5,SATA 3.0 Gb/s
Seagate Constellation ES,189.99,2000.0,0.095,7200,64.0,3.5,SATA 6.0 Gb/s
Samsung 830,,256.0,,SSD,,2.5,SATA 6.0 Gb/s
SanDisk SSD PLUS,66.97,120.0,0.558,SSD,,2.5,SATA 6.0 Gb/s
Seagate Exos 7E8,186.81,4000.0,0.047,7200,256.0,3.5,SATA 6.0 Gb/s
Kingston SSDNOW DC500R,281.95,3840.0,0.073,SSD,,2.5,SATA 6.0 Gb/s
Sabrent Rocket,59.99,512.0,0.117,SSD,,M.2-2242,M.2 PCIe 3.0 X4
ADATA Legend 850,34.99,512.0,0.068,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Netac NV3000,,2000.0,,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Patriot P400,59.99,1000.0,0.06,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Western Digital Red,61.14,2000.0,0.031,5400,64.0,3.5,SATA 6.0 Gb/s
HP EX900 Plus,19.98,256.0,0.078,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Western Digital Caviar Green,,2000.0,,5400,64.0,3.5,SATA 6.0 Gb/s
Seagate BarraCuda,112.2,4000.0,0.028,5900,64.0,3.5,SATA 6.0 Gb/s
Western Digital AV-GP,18.82,500.0,0.038,5400,16.0,3.5,SATA 3.0 Gb/s
ADATA Legend 750,53.3,500.0,0.107,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Inland Prime,39.99,500.0,0.08,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Seagate BarraCuda,31.99,250.0,0.128,7200,8.0,3.5,SATA 6.0 Gb/s
Hitachi Ultrastar 7K3000,113.44,2000.0,0.057,7200,64.0,3.5,SATA 6.0 Gb/s
Intel 600p,119.0,512.0,0.232,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Seagate BarraCuda,122.74,1500.0,0.082,7200,32.0,3.5,SATA 3.0 Gb/s
Transcend Transcend SLC,,16.0,,SSD,,2.5,SATA 1.5 Gb/s
Western Digital Black,299.0,4000.0,0.075,7200,64.0,3.5,SATA 6.0 Gb/s
Western Digital Green,,4000.0,,5900,64.0,3.5,SATA 6.0 Gb/s
Western Digital Blue,,1000.0,,,64.0,2.5,SATA 6.0 Gb/s
Western Digital PC SN730,,1000.0,,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Toshiba MG07ACA14TE,219.0,14000.0,0.016,7200,256.0,3.5,SATA 6.0 Gb/s
TEAMGROUP Cardea A440,62.99,1000.0,0.063,SSD,,M.2-2280,M.2 PCIe 4.0 X4
ADATA LEGEND 850 LITE,31.99,500.0,0.064,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Sabrent Rocket Q4,,2000.0,,SSD,,M.2-2280,M.2 PCIe 4.0 X4
PNY XLR8 CS3140 w/Heatsink,,2000.0,,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Silicon Power UD80,,1000.0,,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Lexar Professional NM800PRO w/Heatsink,92.99,1000.0,0.093,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Seagate FireCuda 120,,2000.0,,SSD,,2.5,SATA 6.0 Gb/s
TEAMGROUP T-Force Cardea Zero Z330,37.99,512.0,0.074,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Seagate IronWolf 525,179.99,1000.0,0.18,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Seagate BarraCuda,37.35,500.0,0.075,7200,16.0,3.5,SATA 3.0 Gb/s
Crucial MX300,249.99,525.0,0.476,SSD,,M.2-2280,M.2 SATA
Klevv CRAS C710,42.99,1000.0,0.043,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Gigabyte AORUS RGB,,256.0,,SSD,512.0,M.2-2280,M.2 PCIe 3.0 X4
Mushkin Pilot-E,64.99,1000.0,0.065,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Crucial MX300,199.99,1050.0,0.19,SSD,,2.5,SATA 6.0 Gb/s
Western Digital Caviar Black,192.98,4000.0,0.048,7200,128.0,3.5,SATA 6.0 Gb/s
Sabrent Rocket 4.0 HTSK,79.98,1000.0,0.08,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Western Digital Caviar Blue,156.03,1000.0,0.156,7200,32.0,3.5,SATA 3.0 Gb/s
Western Digital Black,,5000.0,,7200,128.0,3.5,SATA 6.0 Gb/s
Seagate NAS HDD,,8000.0,,7200,256.0,3.5,SATA 6.0 Gb/s
Corsair Neutron NX500,,800.0,,SSD,,PCIe,PCIe x1
Seagate BarraCuda 120,,250.0,,SSD,,2.5,SATA 6.0 Gb/s
TEAMGROUP T-Force Cardea Zero Z340,,4000.0,,SSD,,M.2-2280,M.2 PCIe 3.0 X4
MSI SPATIUM S270,,960.0,,SSD,,2.5,SATA 6.0 Gb/s
Seagate IronWolf NAS,432.84,14000.0,0.031,7200,256.0,3.5,SATA 6.0 Gb/s
Lexar NM610PRO,,2000.0,,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Western Digital RE,18.94,250.0,0.076,7200,64.0,3.5,SATA 6.0 Gb/s
Western Digital Purple Pro,194.99,8000.0,0.024,7200,256.0,3.5,SATA 6.0 Gb/s
Intel DC P4510,945.0,8000.0,0.118,SSD,,2.5,U.2
Intel D3-S4520,613.95,7680.0,0.08,SSD,,2.5,SATA 6.0 Gb/s
Western Digital Red,197.5,2000.0,0.099,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Mushkin Tempest,49.99,1000.0,0.05,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Integral M2,,500.0,,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Western Digital Red,419.0,10000.0,0.042,5400,256.0,3.5,SATA 6.0 Gb/s
Western Digital Blue SN550,,1000.0,,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Western Digital Black SN750,,4000.0,,SSD,,M.2-2280,M.2 PCIe 3.0 X4
ADATA LEGEND 700,,256.0,,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Samsung 840,,250.0,,SSD,,2.5,SATA 6.0 Gb/s
GOODRAM CL100 gen.3,,120.0,,SSD,,2.5,SATA 6.0 Gb/s
TEAMGROUP T-Create Classic,56.99,1000.0,0.057,SSD,,M.2-2280,M.2 PCIe 4.0 X4
HP EX900 Plus,84.99,2000.0,0.042,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Lexar NS100,109.0,512.0,0.213,SSD,,2.5,SATA 6.0 Gb/s
Western Digital Gold,109.49,4000.0,0.027,7200,128.0,3.5,SATA 6.0 Gb/s
Toshiba P300,65.65,2000.0,0.033,5400,128.0,3.5,SATA 6.0 Gb/s
HP EX920,72.99,512.0,0.143,SSD,512.0,M.2-2280,M.2 PCIe 3.0 X4
Apacer AS350 PANTHER,,128.0,,SSD,,2.5,SATA 6.0 Gb/s
Corsair CSSD-F4000GBMP600PHX,409.99,4000.0,0.102,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Western Digital Purple,,6000.0,,5640,128.0,3.5,SATA 6.0 Gb/s
TEAMGROUP CX1,15.99,240.0,0.067,SSD,,2.5,SATA 6.0 Gb/s
ADATA XPG SX8100,47.99,512.0,0.094,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Intel Optane 905P,,380.0,,SSD,,M.2-22110,M.2 PCIe 3.0 X4
Western Digital Red,264.45,10000.0,0.026,5400,256.0,3.5,SATA 6.0 Gb/s
Seagate SkyHawk Surveillance,77.52,3000.0,0.026,5000,256.0,3.5,SATA 6.0 Gb/s
Western Digital VelociRaptor,42.0,300.0,0.14,10000,16.0,3.5,SATA 3.0 Gb/s
Samsung 830,,128.0,,SSD,,2.5,SATA 6.0 Gb/s
Seagate ST4000DX001,,4000.0,,,64.0,3.5,SATA 6.0 Gb/s
Samsung SM951,,128.0,,SSD,256.0,M.2-2280,M.2 PCIe 3.0 X4
KingDian S280,,120.0,,SSD,,2.5,SATA 6.0 Gb/s
Gigabyte UD PRO 512,,512.0,,SSD,512.0,2.5,SATA 6.0 Gb/s
PNY CS1031,,256.0,,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Apacer AS2280P4,,1000.0,,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Addlink S20,24.22,512.0,0.047,SSD,,2.5,SATA 6.0 Gb/s
Western Digital Blue,139.99,6000.0,0.023,5400,64.0,3.5,SATA 6.0 Gb/s
Apacer AS350 PANTHER,,512.0,,SSD,,2.5,SATA 6.0 Gb/s
Inland TN320,21.99,256.0,0.086,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Lexar NM710,150.0,500.0,0.3,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Crucial MX200,397.77,500.0,0.796,SSD,,M.2-2260,M.2 SATA
Seagate FireCuda,80.0,500.0,0.16,,,2.5,SATA 6.0 Gb/s
Intel 760p,760.3,2000.0,0.38,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Inland Professional,34.99,480.0,0.073,SSD,,2.5,SATA 6.0 Gb/s
Verbatim Vi550,30.07,512.0,0.059,SSD,,2.5,SATA 6.0 Gb/s
Seagate SkyHawk,91.99,4000.0,0.023,5900,64.0,3.5,SATA 6.0 Gb/s
ADATA SU800,701.13,2000.0,0.351,SSD,,2.5,SATA 6.0 Gb/s
KIOXIA EXCERIA PLUS G2,,1000.0,,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Samsung Spinpoint F3,,500.0,,7200,16.0,3.5,SATA 3.0 Gb/s
Samsung Spinpoint F4,,2000.0,,5400,32.0,3.5,SATA 3.0 Gb/s
Western Digital Caviar Green,,3000.0,,5400,64.0,3.5,SATA 6.0 Gb/s
Crucial M500,190.0,240.0,0.792,SSD,,2.5,SATA 6.0 Gb/s
Supermicro HDD-T4000-ST4000NM00,,4000.0,,7200,128.0,3.5,SATA 6.0 Gb/s
SanDisk Ultra II,,960.0,,SSD,,2.5,SATA 6.0 Gb/s
Toshiba X300,,5000.0,,7200,128.0,3.5,SATA 6.0 Gb/s
Seagate Barracuda Compute,,500.0,,SSD,,2.5,SATA 6.0 Gb/s
Lexar NM620,,256.0,,SSD,,M.2-2280,M.2 PCIe 3.0 X4
KIOXIA EXCERIA,,250.0,,SSD,,M.2-2280,M.2 PCIe 3.0 X4
MSI SPATIUM S270,,480.0,,SSD,,2.5,SATA 6.0 Gb/s
Toshiba S300 Pro,,6000.0,,7200,256.0,3.5,SATA 6.0 Gb/s
Lexar NM700,,1000.0,,SSD,,2.5,SATA 6.0 Gb/s
Seagate Lightsaber Collection FireCuda,159.99,1000.0,0.16,SSD,,M.2-2280,M.2 PCIe 4.0 X4
TEAMGROUP MP44,59.99,1000.0,0.06,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Western Digital Purple Pro,264.99,14000.0,0.019,7200,512.0,3.5,SATA 6.0 Gb/s
Seagate FireCuda,210.0,2000.0,0.105,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Gigabyte AORUS Gen4 7000s Premium,,1000.0,,SSD,1024.0,M.2-2280,M.2 PCIe 4.0 X4
Inland Gaming Performance Plus,134.99,2000.0,0.067,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Western Digital Purple Pro,214.99,10000.0,0.021,7200,256.0,3.5,SATA 6.0 Gb/s
Western Digital Gold,319.99,14000.0,0.023,7200,512.0,3.5,SATA 6.0 Gb/s
Klevv CRAS C720,72.98,2000.0,0.036,SSD,,M.2-2280,M.2 PCIe 3.0 X4
KingSpec NX-2280,21.99,128.0,0.172,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Hitachi Ultrastar 7K6000,88.99,4000.0,0.022,7200,128.0,3.5,SATA 6.0 Gb/s
Seagate SkyHawk AI,374.99,20000.0,0.019,7200,256.0,3.5,SATA 6.0 Gb/s
Integral M,,128.0,,SSD,,M.2-2280,M.2 PCIe 3.0 X4
TEAMGROUP T-Force Cardea A440 Pro,187.7,2000.0,0.094,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Western Digital Caviar Green,40.99,1000.0,0.041,5400,32.0,3.5,SATA 3.0 Gb/s
Corsair MP510,81.08,480.0,0.169,SSD,,M.2-2280,M.2 PCIe 3.0 X4
TEAMGROUP GX1,38.99,480.0,0.081,SSD,,2.5,SATA 6.0 Gb/s
PNY XLR8 CS3030,47.67,250.0,0.191,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Apacer AS2280P4,,256.0,,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Apacer AS340 PANTHER,,120.0,,SSD,,2.5,SATA 6.0 Gb/s
Inland Prime,29.99,250.0,0.12,SSD,,M.2-2280,M.2 PCIe 3.0 X4
OCZ Colossus,,1000.0,,SSD,128.0,3.5,SATA 3.0 Gb/s
Seagate ST1000DM004,,1000.0,,7200,64.0,3.5,SATA 6.0 Gb/s
SK Hynix SL308,,250.0,,SSD,,2.5,SATA 6.0 Gb/s
Western Digital Blue,99.99,500.0,0.2,SSD,,M.2-2280,M.2 SATA
TEAMGROUP MP34,,512.0,,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Transcend 110S,28.98,256.0,0.113,SSD,,M.2-2280,M.2 PCIe 3.0 X4
TEAMGROUP T-Force Vulcan G,,1000.0,,SSD,,2.5,SATA 6.0 Gb/s
GOODRAM CL100 gen.3,,240.0,,SSD,,2.5,SATA 6.0 Gb/s
Corsair MP600 MINI,99.99,1000.0,0.1,SSD,,M.2-2230,M.2 PCIe 4.0 X4
PNY CS2241,89.99,2000.0,0.045,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Addlink S90,,2000.0,,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Sabrent Rocket Q4,,4000.0,,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Seagate IronWolf Pro NAS,435.99,14000.0,0.031,7200,256.0,3.5,SATA 6.0 Gb/s
Seagate IronWolf NAS,175.0,8000.0,0.022,7200,256.0,3.5,SATA 6.0 Gb/s
Western Digital Gold,194.99,6000.0,0.032,7200,256.0,3.5,SATA 6.0 Gb/s
Intenso High Performance,27.51,240.0,0.115,SSD,,2.5,SATA 6.0 Gb/s
HP EX900 Plus,29.99,512.0,0.059,SSD,,M.2-2280,M.2 PCIe 3.0 X4
KIOXIA EXCERIA G2,,2000.0,,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Nextorage G-Series,154.99,2000.0,0.077,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Western Digital Blue SA510,32.99,250.0,0.132,SSD,,M.2-2280,M.2 SATA
ADATA XPG GAMMIX S11 Pro,42.92,256.0,0.168,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Intel 760p,,1000.0,,SSD,,M.2-2280,M.2 PCIe 3.0 X4
TEAMGROUP GX1,28.0,120.0,0.233,SSD,,2.5,SATA 6.0 Gb/s
Western Digital Purple,,1000.0,,5900,64.0,3.5,SATA 6.0 Gb/s
SanDisk X400,194.53,128.0,1.52,SSD,,M.2-2280,M.2 SATA
Samsung 850 Evo,305.0,1000.0,0.305,SSD,,M.2-2280,M.2 SATA
Seagate BarraCuda,242.08,3000.0,0.081,5400,128.0,2.5,SATA 6.0 Gb/s
Intel Optane 900P,,480.0,,SSD,,PCIe,PCIe x4
Toshiba MG08ADA800E,188.99,8000.0,0.024,7200,256.0,3.5,SATA 6.0 Gb/s
Western Digital Scorpio Blue,,500.0,,5400,8.0,2.5,SATA 3.0 Gb/s
Hitachi 7K1000.C,137.5,500.0,0.275,7200,16.0,3.5,SATA 3.0 Gb/s
Samsung 850 Pro,,128.0,,SSD,,2.5,SATA 6.0 Gb/s
Transcend TS512GSSD230S,34.99,512.0,0.068,SSD,,2.5,SATA 6.0 Gb/s
ADATA XPG SX8200 480,,480.0,,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Western Digital Purple,291.33,12000.0,0.024,7200,256.0,3.5,SATA 6.0 Gb/s
MSI SPATIUM M461,,500.0,,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Seagate Exos 7E10 512n,209.9,6000.0,0.035,7200,256.0,3.5,SATA 6.0 Gb/s
Kingston KC600,93.66,1024.0,0.091,SSD,,mSATA,mSATA
Hitachi Ultrastar 7K4000,,3000.0,,7200,64.0,3.5,SATA 6.0 Gb/s
Seagate Enterprise Capacity,170.62,4000.0,0.043,7200,128.0,3.5,SATA 6.0 Gb/s
Toshiba X300,207.99,8000.0,0.026,7200,256.0,3.5,SATA 6.0 Gb/s
TEAMGROUP T-Force Cardea Ceramic C440,413.0,1000.0,0.413,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Addlink S90 Lite,49.99,1000.0,0.05,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Lexar NS100,76.99,2000.0,0.038,SSD,,2.5,SATA 6.0 Gb/s
Mushkin ELEMENT,37.99,1000.0,0.038,SSD,,2.5,SATA 6.0 Gb/s
Seagate EXOS Enterprise,127.49,4000.0,0.032,7200,256.0,3.5,SATA 6.0 Gb/s
Toshiba X300 Pro,164.99,8000.0,0.021,7200,256.0,3.5,SATA 6.0 Gb/s
Western Digital Gold,109.99,2000.0,0.055,7200,128.0,3.5,SATA 6.0 Gb/s
Intel 660p,86.99,512.0,0.17,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Seagate IronWolf 125,128.18,1000.0,0.128,SSD,,2.5,SATA 6.0 Gb/s
Western Digital Purple,83.0,2000.0,0.042,5400,64.0,3.5,SATA 6.0 Gb/s
Leven JS600,,512.0,,SSD,,2.5,SATA 6.0 Gb/s
MSI SPATIUM M390,128.52,2000.0,0.064,SSD,,M.2-2280,M.2 PCIe 3.0 X4
TEAMGROUP T-Force Delta RGB Lite,43.99,500.0,0.088,SSD,,2.5,SATA 6.0 Gb/s
ADATA Ultimate SU650,101.0,480.0,0.21,SSD,,2.5,SATA 6.0 Gb/s
Gigabyte AORUS,,512.0,,SSD,,PCIe,PCIe x4
Seagate BarraCuda 120,,2000.0,,SSD,,2.5,SATA 6.0 Gb/s
Western Digital Purple,415.0,18000.0,0.023,7200,512.0,3.5,SATA 6.0 Gb/s
HP S700,17.98,250.0,0.072,SSD,,2.5,SATA 6.0 Gb/s
Netac NV5000,,1000.0,,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Seagate Barracuda 7200.12,,500.0,,7200,16.0,3.5,SATA 3.0 Gb/s
Crucial MX200,,250.0,,SSD,,2.5,SATA 6.0 Gb/s
Kingston Predator,,240.0,,SSD,,M.2-2280,M.2 PCIe 2.0 X4
Kingston SSDNow UV400,,480.0,,SSD,,2.5,SATA 6.0 Gb/s
ADATA XPG SX6000,,512.0,,SSD,,M.2-2280,M.2 PCIe 3.0 X2
Western Digital Black NVMe,,500.0,,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Western Digital SN520,,256.0,,SSD,,M.2-2280,M.2 PCIe 3.0 X2
Micron 1100,,512.0,,SSD,,M.2-2280,M.2 SATA
Micron 2200,,1000.0,,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Apacer AS350 PANTHER,,256.0,,SSD,,2.5,SATA 6.0 Gb/s
Toshiba L200,69.99,2000.0,0.035,5400,128.0,2.5,SATA 6.0 Gb/s
Kingston DC1500M,728.0,7680.0,0.095,SSD,,2.5,U.2
Addlink S95,112.88,2000.0,0.056,SSD,,M.2-2280,M.2 PCIe 4.0 X4
HP FX900 Pro,114.99,2000.0,0.057,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Intel 320,73.0,40.0,1.825,SSD,,2.5,SATA 3.0 Gb/s
Seagate SkyHawk,71.66,2000.0,0.036,5900,64.0,3.5,SATA 6.0 Gb/s
Patriot Viper VPR400 RGB,42.99,512.0,0.084,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Transcend MTS800,40.15,64.0,0.627,SSD,,M.2-2280,M.2 SATA
Western Digital Black SN750 Rev2,198.33,2000.0,0.099,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Inland Gaming Performance Plus,322.99,4000.0,0.081,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Toshiba N300 Pro,229.99,10000.0,0.023,7200,512.0,3.5,SATA 6.0 Gb/s
Kingston DC1000B,77.98,240.0,0.325,SSD,,M.2-2280,M.2 PCIe 3.0 X4
KIOXIA EXCERIA PRO,269.38,2000.0,0.135,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Western Digital Caviar Blue,75.0,80.0,0.938,7200,8.0,3.5,SATA 3.0 Gb/s
ADATA Ultimate SU650,,120.0,,SSD,,2.5,SATA 6.0 Gb/s
ADATA SU760,67.98,1000.0,0.068,SSD,,2.5,SATA 6.0 Gb/s
Kingston HyperX 3K,105.51,120.0,0.879,SSD,,2.5,SATA 6.0 Gb/s
Intel DC P4511,,2000.0,,SSD,,M.2-22110,M.2 PCIe 3.0 X4
Seagate Exos 7E8,139.38,2000.0,0.07,7200,256.0,3.5,SATA 6.0 Gb/s
Crucial P5,,250.0,,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Transcend 220S,59.84,1000.0,0.06,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Samsung 750 EVO,,120.0,,SSD,,2.5,SATA 6.0 Gb/s
Crucial MX300,,1050.0,,SSD,,M.2-2280,M.2 SATA
Toshiba XG5,,512.0,,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Western Digital PC SN730,75.0,512.0,0.146,SSD,,M.2-2280,M.2 PCIe 3.0 X4
TEAMGROUP T-Force Delta TUF Gaming Alliance RGB,,1000.0,,SSD,,2.5,SATA 6.0 Gb/s
Klevv CRAS C700 RGB,,480.0,,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Western Digital Red Plus,139.99,6000.0,0.023,5400,128.0,3.5,SATA 6.0 Gb/s
TEAMGROUP T-Force Cardea A440 Pro,62.99,1000.0,0.063,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Inland TN320,84.99,2000.0,0.042,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Seagate SkyHawk Surveillance,141.94,6000.0,0.024,5400,256.0,3.5,SATA 6.0 Gb/s
Toshiba N300,319.99,16000.0,0.02,7200,,3.5,SATA 6.0 Gb/s
Western Digital Black,39.95,500.0,0.08,7200,64.0,3.5,SATA 6.0 Gb/s
TEAMGROUP EX2,599.99,8000.0,0.075,SSD,,2.5,SATA 6.0 Gb/s
Fantom Drives VENOM8,357.94,4000.0,0.089,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Silicon Power UD80,,500.0,,SSD,,M.2-2280,M.2 PCIe 3.0 X4
ADATA XPG GAMMIX S70,791.0,2000.0,0.395,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Silicon Power A80,,256.0,,SSD,,M.2-2280,M.2 PCIe 3.0 X4
ADATA XPG SX8100,109.99,2000.0,0.055,SSD,,M.2-2280,M.2 PCIe 3.0 X4
TEAMGROUP T-Force Delta Max RGB Lite,44.99,512.0,0.088,SSD,,2.5,SATA 6.0 Gb/s
Western Digital Purple,99.87,4000.0,0.025,5400,64.0,3.5,SATA 6.0 Gb/s
Seagate IronWolf 125,223.7,2000.0,0.112,SSD,,2.5,SATA 6.0 Gb/s
Seagate IronWolf 125,54.99,250.0,0.22,SSD,,2.5,SATA 6.0 Gb/s
Western Digital Blue,93.96,500.0,0.188,SSD,,2.5,SATA 6.0 Gb/s
Neo Forza eSports,69.99,1000.0,0.07,SSD,512.0,M.2-2280,M.2 PCIe 3.0 X4
SanDisk EXTREME PRO,71.99,500.0,0.144,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Seagate Barracuda Green,,2000.0,,5900,64.0,3.5,SATA 6.0 Gb/s
TEAMGROUP T-Force Vulcan,,500.0,,SSD,,2.5,SATA 6.0 Gb/s
Inland 1TB Performance,,1000.0,,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Acer Predator GM3500,,1000.0,,SSD,1024.0,M.2-2280,M.2 PCIe 3.0 X4
Netac NV7000,,1000.0,,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Seagate Exos X18,299.99,18000.0,0.017,7200,256.0,3.5,SAS 12.0 Gb/s
Nextorage NEM-PA,258.62,4000.0,0.065,SSD,,M.2-2280,M.2 PCIe 4.0 X4
TEAMGROUP MP44,284.99,4000.0,0.071,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Seagate Enterprise Capacity,135.0,8000.0,0.017,7200,256.0,3.5,SAS 6.0 Gb/s
TEAMGROUP CX1,22.49,480.0,0.047,SSD,,2.5,SATA 6.0 Gb/s
ADATA Legend 960,319.99,4000.0,0.08,SSD,,M.2-2280,M.2 PCIe 4.0 X4
