name,price,type,frequency_response,microphone,wireless,enclosure_type,color
HiFiMAN Susvara,5999.0,Circumaural,"[6, 75]",False,False,Open,Silver / Brown
HP HyperX Cloud II,74.98,Circumaural,"[15, 25]",True,False,Closed,Black / Red
Razer BlackShark V2 X,48.67,Circumaural,"[12, 28]",True,False,Closed,Black / Green
Logitech Pro X,94.22,Circumaural,"[20, 20]",True,False,Closed,Black
"SteelSeries Arctis Nova Pro Wireless for PC, PS5, and PS4",349.0,Circumaural,"[10, 40]",True,True,Closed,Black
Beyerdynamic DT 770 PRO,159.0,Circumaural,"[5, 35]",False,False,Closed,Gray
SteelSeries Arctis 1,49.97,Circumaural,"[20, 20]",True,False,Closed,Black
Razer BlackShark V2 Pro,129.99,Circumaural,"[12, 28]",True,True,Closed,Black
HP HyperX Cloud,,Circumaural,"[15, 25]",True,False,Closed,Black / White
Corsair Virtuoso RGB,129.99,Circumaural,"[20, 40]",True,True,Closed,White
Corsair VOID RGB ELITE,99.99,Circumaural,"[20, 30]",True,True,Closed,Black
Logitech Pro X,180.95,Circumaural,"[20, 20]",True,True,Closed,Black
Razer BlackShark V2 Pro (2023),199.0,Circumaural,"[12, 28]",True,True,Closed,Black
Corsair VIRTUOSO RGB Wireless XT,229.99,Circumaural,"[20, 40]",True,True,Closed,Black / Silver
Beyerdynamic DT990 Premium Limited-Edition,159.0,Circumaural,"[5, 35]",False,False,Open,Black
SteelSeries Arctis Nova 7,141.99,Circumaural,"[20, 22]",True,True,Closed,Black
HP HyperX Cloud II,79.98,Circumaural,"[15, 25]",True,False,Closed,Gunmetal
Logitech G432,45.99,Circumaural,"[20, 20]",True,False,Closed,Black / Blue
Sennheiser HD 820,1699.95,Circumaural,"[6, 48]",False,False,Closed,Black
Logitech G733,149.0,Circumaural,"[20, 20]",True,True,Closed,White / Gray
Astro A50 + Base Station,298.99,Circumaural,"[20, 20]",True,True,Closed,Black / Gold
Sony XM5,384.99,Circumaural,"[4, 40]",True,True,Closed,Black
SteelSeries Arctis Pro Wireless,445.0,Circumaural,"[10, 40]",True,True,Closed,White
SteelSeries Arctis 1,65.11,Circumaural,"[20, 20]",True,True,Closed,Black
Sennheiser HD 560S,229.99,Circumaural,"[6, 38]",False,False,Open,Black
Corsair HS80 RGB,131.99,Circumaural,"[20, 40]",True,True,Closed,Black
Logitech G733,118.99,Circumaural,"[20, 20]",True,True,Closed,Black
HP HyperX Cloud II,119.99,Circumaural,"[15, 20]",True,True,Closed,Black / Red
SteelSeries ARCTIS 5 (2019 Edition),99.0,Circumaural,"[20, 22]",True,False,Closed,Black
Corsair VOID RGB ELITE,99.99,Circumaural,"[20, 30]",True,True,Closed,White
Audio-Technica ATH-M50x,169.0,Circumaural,"[15, 28]",False,False,Closed,Black / Silver
Razer BlackShark V2,79.98,Circumaural,"[12, 28]",True,False,Closed,Black / Green
HP HyperX Cloud Alpha,79.23,Circumaural,"[13, 27]",True,False,Closed,Black / Red
Logitech G435,49.99,Circumaural,"[20, 20]",True,True,Closed,Black / Yellow
SteelSeries Arctis Pro,434.51,Circumaural,"[10, 40]",True,True,Closed,Black
Razer Barracuda Pro,222.36,Circumaural,"[20, 20]",True,True,Closed,Black
Razer Kraken Kitty,118.56,Circumaural,"[20, 20]",True,False,Closed,Pink
DROP Drop + Sennheiser PC38X,180.0,Circumaural,"[10, 30]",True,False,Open,Black
Razer Barracuda X,90.99,Circumaural,"[20, 20]",True,True,Closed,Black
Beyerdynamic DT1990 Pro,499.0,Circumaural,"[5, 40]",False,False,Open,Black
Sennheiser HD 800 S,1499.92,Circumaural,"[4, 51]",False,False,Open,Black / Silver
Razer Kraken X,58.99,Circumaural,"[12, 28]",True,False,Closed,Black
Beyerdynamic DT 990 Pro 250,,Circumaural,"[5, 35]",False,False,Open,Black / Gray
Philips SHP9500,74.98,Circumaural,"[12, 35]",False,False,Open,Black
Logitech G435,,Circumaural,"[20, 20]",True,True,Closed,White / Blue
Logitech G935,114.99,Circumaural,"[20, 20]",True,True,Closed,Black / Blue
Logitech G332,27.99,Circumaural,"[20, 20]",True,False,Closed,Black / Red
Razer BlackShark V2 Pro (2023),199.99,Circumaural,"[12, 28]",True,True,Closed,White / Black
SteelSeries Arctis 7,249.99,Circumaural,"[20, 20]",True,True,Closed,Black
Beyerdynamic DT 900 Pro X,188.79,Circumaural,"[5, 40]",False,False,Open,Black / Gray
Sony WH1000XM4,348.0,Circumaural,"[20, 20]",True,True,Closed,Black
Razer NARI ESSENTIAL,,Circumaural,"[20, 20]",True,True,Closed,Black
SteelSeries ARCTIS 7 2019 Edition,206.15,Circumaural,"[20, 20]",True,True,Closed,Black
HP HyperX Cloud Alpha,189.99,Circumaural,"[15, 21]",True,True,Closed,Black / Red
Logitech G535 LIGHTSPEED,94.84,Circumaural,"[20, 20]",True,True,Closed,Black / Blue
Corsair HS60 PRO SURROUND,69.0,Circumaural,"[20, 20]",True,False,Closed,Black
HP HyperX Cloud Alpha S,87.98,Circumaural,"[13, 27]",True,False,Closed,Black
Sennheiser HD 650,340.16,Circumaural,"[10, 39.5]",False,False,Open,Black
Razer Barracuda X,99.99,Circumaural,"[20, 20]",True,True,Closed,White / Gray
SteelSeries Arctis 9,178.99,Circumaural,"[20, 20]",True,True,Closed,Black
Yamaha EPH-20PI,4.99,In Ear,"[20, 21]",False,False,Closed,Black / Pink
Razer Kraken V3 Pro,173.0,Circumaural,"[20, 20]",True,True,Closed,Black
Asus ROG Theta 7.1,265.0,Circumaural,"[20, 40]",True,False,Closed,Black
Sennheiser HD600,298.0,Circumaural,"[12, 39]",False,False,Open,Black
HiFiMAN HE1000,1899.0,Circumaural,"[8, 65]",False,False,Open,Silver / Brown
HP HyperX Cloud Stinger Core - Wireless,59.99,Circumaural,"[10, 21]",True,True,Closed,Black
Corsair Virtuoso RGB,176.99,Circumaural,"[20, 40]",True,True,Closed,Black
Astro Gaming A10,34.99,Circumaural,"[20, 20]",True,False,Closed,Black / Blue
Sennheiser HD 660 S,347.0,Circumaural,"[10, 41]",False,False,Open,Black
HP HyperX Cloud Stinger,29.99,Circumaural,"[18, 23]",True,False,Closed,Black / Red
"SteelSeries Arctis Nova Pro Wireless for Xbox X|S, and Xbox One",299.99,Circumaural,"[10, 40]",True,True,Closed,Black
Asus ROG Delta,99.99,Circumaural,"[20, 40]",True,False,Closed,Black / Silver
Sennheiser GSP 300,,Circumaural,"[15, 26]",True,False,Closed,Black / Blue
Razer Kraken V3 X,44.99,Circumaural,"[12, 28]",True,False,Closed,Black
HP HyperX Cloud Flight,79.98,Circumaural,"[15, 23]",True,True,Closed,Black / Red
Audio-Technica ATH-AD2000X,718.0,Circumaural,"[5, 45]",False,False,Open,Black
Razer NARI ULTIMATE,100.41,Circumaural,"[20, 20]",True,True,Closed,Black / Green
Astro A40 + MIXAMP Pro,394.95,Circumaural,"[20, 20]",True,False,Closed,Black
Corsair HS65 SURROUND,57.99,Circumaural,"[20, 20]",True,False,Closed,Black
Turtle Beach EAR FORCE Recon 50X,28.98,Circumaural,"[20, 20]",True,False,Closed,Black / Green
Corsair Virtuoso RGB SE,195.99,Circumaural,"[20, 40]",True,True,Closed,Black
Corsair HS70 PRO,98.99,Circumaural,"[20, 20]",True,True,Closed,Black
Audeze Maxwell for PlayStation 5,299.0,Circumaural,"[10, 50]",True,True,Closed,Black / Blue
Astro Gaming A40 TR + MixAmp Pro TR,394.95,Circumaural,"[20, 20]",True,False,Closed,Black / Gold
Audeze LCD-GX,,Circumaural,"[10, 50]",True,False,Open,Black / Red
Razer Kraken Ultimate,209.0,Circumaural,"[20, 20]",True,False,Closed,Black
SteelSeries Arctis 3 (2019),,Circumaural,"[20, 22]",True,False,Closed,Black
Logitech G335,45.46,Circumaural,"[20, 20]",True,False,Closed,Black / Blue
AOC GH300,52.4,Circumaural,"[20, 20]",True,False,Closed,Red / Black
HiFiMAN SUNDARA,299.0,Circumaural,"[6, 75]",False,False,Open,Black
SteelSeries Arctis Pro + GameDAC,157.99,Circumaural,"[10, 40]",True,False,Closed,Black
Logitech G533,59.99,Circumaural,,True,True,Closed,Black
Logitech G435,29.99,Circumaural,"[20, 20]",True,True,Closed,Blue / Pink
Sennheiser DROP Massdrop x Sennheiser PC37X,130.0,Circumaural,"[15, 28]",True,False,Open,Black
HP HyperX CloudX,44.99,Circumaural,"[15, 25]",True,False,Closed,Black / Silver
Apple MD827LL/A,12.98,Earbud,,True,False,Closed,White
Beyerdynamic MMX 300 (2nd Generation),239.0,Circumaural,"[5, 35]",True,False,Closed,Black
Beyerdynamic DT 1770 PRO,499.0,Circumaural,"[5, 40]",False,False,Closed,Black
HP HyperX Cloud Orbit S,219.99,Circumaural,"[10, 50]",True,False,Closed,Black / Gray
Logitech G PRO,149.29,Circumaural,"[20, 20]",True,False,Closed,Black
SteelSeries Arctis 3 (2019),,Circumaural,"[20, 22]",True,False,Closed,White
Astro A50 + Base Station,297.0,Circumaural,"[20, 20]",True,True,Closed,Black / Gray
Sennheiser HD 599,120.0,Circumaural,"[12, 38.5]",False,False,Open,White / Brown
Sony XM5,398.0,Circumaural,"[4, 40]",True,True,Closed,Silver
MSI Immerse GH20,16.99,Circumaural,"[29, 20]",True,False,Closed,Black
SteelSeries Arctis 7P,100.0,Circumaural,"[20, 20]",True,True,Closed,White / Blue
Sennheiser HD 598 SE,594.99,Circumaural,"[12, 38.5]",False,False,Open,Black
Sennheiser ‎‎‎HD 450BT Black,150.11,Circumaural,"[18, 22]",True,True,Closed,Black / Gray
Sades SA-708,7.7,Circumaural,,True,False,Closed,Black / Green
SteelSeries Arctis 7,224.99,Circumaural,"[20, 20]",True,True,Closed,White / Black
Corsair HS35,29.99,Circumaural,"[20, 20]",True,False,Closed,Black
Audeze Maxwell for Xbox Series X|S,329.0,Circumaural,"[10, 50]",True,True,Closed,Black / Green
Asus ROG Delta White Edition,136.99,Circumaural,"[20, 40]",True,False,Closed,White
Audio-Technica ATH-M40x,119.0,Circumaural,"[15, 24]",False,False,Closed,Black / Silver
Asus ROG STRIX FUSION 700,129.0,Circumaural,"[20, 40]",True,True,Closed,Black
Moondrop ARIA,79.98,In Ear,"[5, 36]",False,False,Closed,Black
HP HyperX Cloud III,96.99,Circumaural,"[10, 21]",True,False,Closed,Black
Logitech G635,59.99,Circumaural,"[20, 20]",True,False,Closed,Black / Blue
Philips Fidelio X2HR/00,148.99,Circumaural,"[5, 40]",False,False,Open,Black
Turtle Beach Stealth 700 Gen 2 MAX,169.99,Circumaural,"[20, 22]",True,True,Closed,Black / Silver
Audio-Technica ATH-G1WL,249.0,Circumaural,"[5, 40]",True,True,Closed,Black
SteelSeries Arctis Pro,153.85,Circumaural,"[10, 40]",True,False,Closed,Black
Beyerdynamic DT 700 PRO X,259.0,Circumaural,"[5, 40]",False,False,Closed,Black
Audio-Technica ATH-M50xWH,189.0,Circumaural,"[15, 28]",False,False,Closed,White
Audio-Technica ATH-M50xBT,189.99,Circumaural,"[15, 28]",True,True,Closed,Black / Silver
Corsair HS55 SURROUND,40.42,Circumaural,"[20, 20]",True,False,Closed,Black
HP HyperX Cloud Core,69.98,Circumaural,"[10, 21]",True,True,Closed,Black / Red
Corsair HS65 SURROUND,51.01,Circumaural,"[20, 20]",True,False,Closed,White / Gray
Sennheiser HD 599 SE,179.99,Circumaural,"[12, 38.5]",False,False,Open,Black / Silver
Sony INZONE H9,298.0,Circumaural,"[5, 20]",True,True,Open,
Logitech Pro X,202.56,Circumaural,"[20, 20]",True,True,Closed,Black
Turtle Beach Recon 50,24.95,Circumaural,,True,False,Closed,Black / Red
Razer Kraken V3 HyperSense,87.99,Circumaural,"[20, 20]",True,False,Closed,Black
Sennheiser HD 280 PRO,94.9,Circumaural,"[8, 25]",False,False,Closed,Black
Corsair HS55 STEREO,34.99,Circumaural,"[20, 20]",True,False,Closed,White / Gray
Razer Barracuda X (2021),99.0,Circumaural,"[20, 20]",True,True,Closed,Black
Sennheiser GAME ONE,98.48,Circumaural,"[15, 28]",True,False,Open,Black / White
Audeze Mobius,799.67,Circumaural,"[10, 50]",True,True,Closed,Blue / Black
Apple AirPods Pro,,Earbud,,True,True,Closed,White
Cooler Master MH670,74.84,Circumaural,"[15, 25]",True,True,Closed,Black
SteelSeries Arctis Prime,60.79,Circumaural,"[10, 40]",True,False,Closed,Black
JBL Quantum 100,19.95,Circumaural,"[20, 20]",True,False,Closed,Black
Superlux HD668B,39.95,Circumaural,"[10, 30]",False,False,Semi-open,Black
HP HyperX Cloud Alpha S,89.97,Circumaural,"[13, 27]",True,False,Closed,Blue / Black
Bose QuietComfort 35 Series II,299.0,Circumaural,,True,True,Closed,Black
Logitech G35,461.26,Circumaural,"[20, 20]",True,False,Closed,Black
Sony WH-1000XM3,,Circumaural,"[4, 40]",True,True,Closed,Black
Audio-Technica ATH-M20X,,Circumaural,"[15, 20]",False,False,Closed,Black / Silver
Asus TUF Gaming H1,34.99,Circumaural,"[20, 20]",True,False,Closed,Black
Final D8000,3799.0,Circumaural,,False,False,Closed,Black / Silver
Corsair VOID ELITE SURROUND,79.99,Circumaural,"[20, 30]",True,False,Closed,Black
Razer Kraken Kitty,110.05,Circumaural,"[20, 20]",True,False,Closed,Black / Green
Microsoft Xbox WH,79.98,Circumaural,"[20, 20]",True,True,Closed,Black / Green
MSI IMMERSE GH,52.99,Circumaural,"[20, 20]",True,False,Closed,Black
Audio-Technica ATH-R70X,311.85,Circumaural,"[5, 40]",False,False,Open,Black
Beyerdynamic DT 990,179.0,Circumaural,"[5, 35]",False,False,Open,Black / Silver
Logitech G935,114.99,Circumaural,"[20, 20]",True,True,Closed,Black
Razer Kraken BT - Kitty Edition,99.81,Circumaural,"[20, 20]",True,True,Closed,Pink / White
Logitech G933 Artemis Spectrum,259.99,Circumaural,"[20, 20]",True,True,Closed,Black / Blue
ROCCAT Elo Air,99.95,Circumaural,"[20, 20]",True,True,Closed,Black
Gigabyte Aorus H5,82.34,Circumaural,"[20, 20]",True,False,Closed,Black / Orange
Cooler Master MH630,,Circumaural,"[15, 25]",True,False,Closed,Black
Sony MDR-7506,89.99,Circumaural,"[10, 20]",False,False,Closed,Black
Astro A50 PS4 4th Gen + Base Station,,Circumaural,"[20, 20]",True,True,Closed,Black
Koss KSC75,19.98,Supra-aural,,False,False,Closed,Black / Silver
SteelSeries ARCTIS 7 2019 Edition,229.99,Circumaural,"[20, 20]",True,True,Closed,White / Black
Adesso Xtream H4,13.87,Supra-aural,"[20, 20]",True,False,Closed,Black
HP HyperX Cloud III,99.99,Circumaural,"[10, 21]",True,False,Closed,Black / Red
Asus TUF Gaming H1 Wireless,83.99,Circumaural,"[20, 20]",True,True,Closed,
Skullcandy Crusher,94.03,Circumaural,"[20, 20]",False,True,Closed,Black
Razer Kraken Kitty V2 Pro,199.99,Circumaural,"[20, 20]",True,False,Closed,Pink / Gray
Razer Kraken 7.1 V2 Mercury Edition,,Circumaural,"[12, 28]",True,False,Closed,White
Corsair HS65,119.99,Circumaural,"[20, 20]",True,True,Closed,White
Panasonic RP-HJE125-W,9.99,Earbud,"[10, 24]",False,False,Closed,
JBL Quantum 100,19.95,Circumaural,"[20, 20]",True,False,Closed,White
Sennheiser HD 598,,Circumaural,"[12, 38.5]",False,False,Open,Brown
Razer Kraken 7.1 V2,,Circumaural,"[12, 28]",True,False,Closed,Black / Green
HP HyperX Cloud Stinger Core,29.99,Circumaural,"[20, 20]",True,False,Closed,Black
SteelSeries Arctis 7X,139.99,Circumaural,"[20, 20]",True,True,Closed,Black / Green
Sennheiser GSP 670,187.72,Circumaural,"[10, 23]",True,True,Closed,Black
Sony WH-1000XM3,369.0,Circumaural,"[4, 40]",True,True,Closed,Silver
Beyerdynamic T1,999.99,Circumaural,"[5, 50]",False,False,Semi-open,Black / Silver
Final B1,698.0,In Ear,,False,False,Closed,Copper / Black
Sennheiser GAME ZERO,59.93,Circumaural,"[10, 26]",True,False,Closed,Black / Red
Corsair HS70 Bluetooth,99.99,Circumaural,"[20, 20]",True,True,Closed,Black
Razer Kraken BT - Hello Kitty and Friends Edition,119.99,Circumaural,"[20, 20]",True,True,Closed,Pink / White
Astro Logitech G A30 LIGHTSPEED (Xbox/PC),219.99,Circumaural,"[20, 20]",True,True,Closed,White
G.Skill RIPJAWS SV710,19.98,Circumaural,"[20, 20]",True,False,Closed,Black
HP HyperX Cloud Core w/7.1 Dongle,66.48,Circumaural,"[15, 25]",True,False,Closed,
Logitech G PRO,,Circumaural,"[20, 20]",True,False,Closed,Black
HiFiMAN Arya,999.0,Circumaural,"[8, 65]",False,False,Open,Black
Anker Soundcore Life Q30,79.98,Circumaural,"[16, 40]",True,True,Closed,Black
HiFiMAN HE400SE,,Circumaural,"[20, 20]",False,False,Open,Black / Silver
Asus TUF Gaming H3,45.98,Circumaural,"[20, 20]",True,False,Closed,Black / Gray
Corsair HS65,116.99,Circumaural,"[20, 20]",True,True,Closed,Black
JBL Quantum One,199.95,Circumaural,"[20, 20]",True,False,Closed,Black
Corsair VOID PRO RGB (Black),,Circumaural,"[20, 20]",True,True,Closed,Black
Razer Kraken V3,70.08,Circumaural,"[20, 20]",True,False,Closed,Black
HP HyperX Cloud MIX,119.99,Circumaural,"[10, 40]",True,True,Closed,Black / Silver
Audio-Technica ATH-M50xSTS StreamSet USB,229.0,Circumaural,"[15, 28]",True,False,Closed,Black / Silver
SteelSeries Arctis Nova 7X,179.99,Circumaural,"[20, 22]",True,True,Closed,Black / Green
Razer Barracuda,159.99,Circumaural,"[20, 20]",True,True,Closed,Black
Philips SHP9600/00,69.98,Circumaural,"[12, 35]",False,False,Open,Black / Copper
Razer Barracuda X,94.27,Circumaural,"[20, 20]",True,True,Closed,Pink / Gray
NZXT Relay,99.99,Circumaural,"[20, 40]",True,False,Closed,White / Black
FNATIC REACT,,Circumaural,"[20, 40]",False,False,Closed,Black / Silver
Sennheiser GSP 600,74.45,Circumaural,"[10, 30]",True,False,Closed,Black / Red
Sennheiser RS 175,178.99,Circumaural,"[17, 22]",False,True,Closed,Black / Silver
Astro Gaming A10,69.97,Circumaural,"[20, 20]",True,False,Closed,Black / Red
SteelSeries Arctis 5,,Circumaural,"[20, 22]",True,False,Closed,Black
Sennheiser HD 559,79.95,Circumaural,"[14, 26]",False,False,Open,Black
HP HyperX Cloud Stinger Core - PS5/PS4,29.0,Circumaural,"[20, 20]",True,False,Closed,Black / Blue
HP HyperX Cloud Flight S,279.0,Circumaural,"[10, 22]",True,True,Closed,Black / Silver
Beyerdynamic DT 880 Pro,199.0,Circumaural,"[5, 35]",False,False,Semi-open,Gray
Audio-Technica ATH-M70x,299.0,Circumaural,"[5, 40]",False,False,Closed,Black / Silver
Logitech G433 (Black),,Circumaural,"[20, 20]",True,False,Open,Black
Razer Kraken Pro,,Circumaural,"[20, 20]",True,False,Closed,Black / Green
Corsair HS60 HAPTIC,56.99,Circumaural,"[20, 20]",True,False,Closed,Black / Gray
Beyerdynamic TYGR 300 R,169.0,Circumaural,"[5, 35]",False,False,Open,Black
SteelSeries Arctis 9X,134.99,Circumaural,"[20, 20]",True,True,Closed,Black / Green
Astro Logitech G A30 LIGHTSPEED (Playstation/PC),229.99,Circumaural,"[20, 20]",True,True,Closed,White
Logitech G733,149.0,Circumaural,"[20, 20]",True,True,Closed,Purple
Sennheiser M3AEBTXL,349.94,Circumaural,"[6, 22]",False,True,Closed,Black / Silver
MSI DS502,44.62,Circumaural,"[20, 20]",True,False,Closed,Black / Red
HiFiMAN Ananda-BT,799.0,Circumaural,"[8, 55]",True,True,Open,Black / Silver
SteelSeries Arctis Nova Pro Wireless for PS5 and PS4,349.99,Circumaural,"[10, 40]",True,True,Closed,Black
Plantronics Rig 800HD,,Circumaural,"[20, 20]",True,True,Open,Black / Gold
Astro A38,24.49,Supra-aural,"[15, 20]",True,True,Closed,White
EPOS H6PRO,149.99,Circumaural,"[20, 20]",True,False,Closed,Black / Blue
Audio-Technica ATH-M30x,79.0,Circumaural,"[15, 22]",False,False,Closed,Black / Silver
Corsair HS60 PRO SURROUND,66.33,Circumaural,"[20, 20]",True,False,Closed,Black / Yellow
Razer BlackShark V2 Pro - Six Siege Special Edition,129.99,Circumaural,"[12, 28]",True,True,Closed,White / Black
Corsair HS50 PRO STEREO,,Circumaural,"[20, 20]",True,False,Closed,Black
Sennheiser HD 558,,Circumaural,"[15, 28]",False,False,Open,Black / Silver
Superlux HD681,49.99,Circumaural,"[10, 30]",False,False,Semi-open,Black / Red
Astro A40,,Circumaural,"[15, 28]",True,False,Closed,Black
Corsair HS55,79.99,Circumaural,"[20, 20]",True,True,Closed,White
Audio-Technica ATH-AD900x,,Circumaural,"[5, 35]",False,False,Open,Black
Syba CM-502,10.99,Circumaural,"[20, 20]",True,False,Closed,Black / Silver
Turtle Beach Recon 50P,28.98,Circumaural,"[20, 20]",True,False,Closed,Black / Blue
Anker Soundcore Life Q20,,Circumaural,"[16, 40]",True,True,Closed,Black
Beyerdynamic DT990 Premium 32,179.0,Circumaural,"[5, 35]",False,False,Open,Black / Silver
Logitech G733,138.09,Circumaural,"[20, 20]",True,True,Closed,Blue
HP HyperX Cloud Stinger Core - Wireless PS5/PS4,70.34,Circumaural,"[10, 21]",True,True,Closed,White / Blue
AKG K701,207.47,Circumaural,"[10, 39.8]",False,False,Open,White
Razer Kraken,147.01,Circumaural,"[20, 20]",True,False,Closed,Black
Astro A40 TR,,Circumaural,"[20, 24]",True,False,Open,Black
Audio-Technica ATH-AD500X,79.98,Circumaural,"[5, 25]",False,False,Open,Black
Audio-Technica ATH-AD700X,118.72,Circumaural,"[5, 30]",False,False,Open,Black
Razer A Bathing Ape Opus,299.99,Circumaural,"[20, 20]",True,True,Closed,Black / Green
Adesso Xtream H5,14.99,Circumaural,"[20, 20]",True,False,Closed,Black
Skullcandy Hesh 2 Unleashed,49.99,Circumaural,,True,True,Closed,Black / Silver
Corsair VOID,175.0,Circumaural,"[20, 20]",True,False,Closed,Black
ROCCAT Syn Pro Air,78.5,Circumaural,"[20, 20]",True,True,Closed,Black
Samsung Buds2 Pro,227.99,In Ear,,True,True,Closed,Black
Astro Gaming A10,39.99,Circumaural,"[20, 20]",True,False,Closed,Black / Green
Sennheiser M3AEBTXL,438.0,Circumaural,"[6, 22]",False,True,Closed,White / Silver
EKSA E900 PRO,49.99,Circumaural,"[20, 20]",True,False,Closed,Black / Red
Logitech G335,49.99,Circumaural,"[20, 20]",True,False,Closed,White / Blue
Sennheiser HD 569,109.95,Circumaural,"[10, 28]",True,False,Closed,Black
Asus TUF Gaming H3,29.99,Circumaural,"[20, 20]",True,False,Closed,Black / Red
Astro A10,59.9,Circumaural,"[20, 20]",True,False,Closed,White / Blue
AKG K702,179.73,Circumaural,"[10, 39.8]",False,False,Open,Black / Silver
AKG K240 MKII,86.0,Circumaural,"[15, 25]",False,False,Semi-open,Black
Corsair HS80 RGB Pink Elixir,,Circumaural,"[20, 40]",True,True,Closed,White / Pink
Rosewill Audiowave H9000,36.24,Circumaural,"[20, 40]",True,True,Closed,Black
Philips SHP9600MB/00,79.98,Supra-aural,"[12, 35]",True,False,Open,Black
AKG K371,169.99,Circumaural,"[5, 40]",False,False,Closed,Black
JBL Quantum 600,149.94,Circumaural,"[20, 20]",True,True,Closed,Black
Cooler Master MH751,98.99,Circumaural,"[20, 20]",True,False,Closed,Black / Silver
Sony WH1000XM4,348.0,Circumaural,"[20, 20]",True,True,Closed,Silver
Logitech G633 Artemis Spectrum,176.8,Circumaural,"[20, 20]",True,False,Closed,Black / Blue
HiFiMAN RE2000 24k Gold Edition,2000.0,In Ear,"[5, 20]",False,False,Closed,Black / Gold
Corsair HS55 WIRELESS CORE,99.99,Circumaural,"[20, 20]",True,True,Closed,Black
Beyerdynamic MMX 300,364.71,Circumaural,"[5, 30]",True,False,Closed,Black
HP HyperX Cloud Revolver,89.96,Circumaural,"[12, 28]",True,False,Closed,Silver
Corsair VOID PRO RGB USB (Black),,Circumaural,"[20, 20]",True,False,Closed,Black
EPOS H6PRO,179.99,Circumaural,"[20, 20]",True,False,Open,Black / Blue
Razer NARI,136.9,Circumaural,"[20, 20]",True,True,Closed,Black / Green
AOC GH200,39.99,Circumaural,"[20, 20]",True,False,Closed,Black / Silver
Cyber Acoustics AC-104,11.99,Supra-aural,,True,False,Closed,Black
Beyerdynamic DT 880 Premium 250 Ohm,159.99,Circumaural,"[5, 35]",False,False,Semi-open,Black / White
Astro Gaming A40 TR + MixAmp Pro TR,329.99,Circumaural,"[20, 24]",True,False,Closed,White / Gray
Anker Soundcore Life Q20+,69.98,Circumaural,"[16, 40]",True,True,Closed,Black
SteelSeries Arctis Nova 7P,154.99,Circumaural,"[20, 22]",True,True,Closed,Black / Blue
ROCCAT Elo Air,91.86,Circumaural,"[20, 20]",True,True,Closed,White
SteelSeries Arctis 3,,Circumaural,"[20, 22]",True,False,Closed,Black
JBL Quantum 300,44.99,Circumaural,"[20, 20]",True,False,Closed,Black
HiFiMAN HE1000se,1999.0,Circumaural,"[8, 65]",False,False,Open,Silver / Brown
Cyber Acoustics ACM-70B,,Supra-aural,"[20, 20]",False,False,Closed,Black
Sennheiser HD 598 CS,599.0,Circumaural,"[10, 28]",False,False,Closed,Black / Silver
HP HyperX Cloud II,,Circumaural,"[15, 25]",True,False,Closed,Black
Corsair HS55,79.98,Circumaural,"[20, 20]",True,True,Closed,Black
AKG K361,,Circumaural,"[15, 28]",False,False,Closed,Black
Sony INZONE H7,228.0,Circumaural,"[5, 20]",True,True,Open,
Astro A20 Gen 2,119.0,Circumaural,"[20, 20]",True,True,Closed,Black / Green
Anker Soundcore Life Q30,85.99,Circumaural,"[16, 40]",True,True,Closed,Pink
Audio-Technica ATH-CK313MPK,9.94,In Ear,"[20, 23]",True,False,Closed,Pink / Black
Logitech H110,14.99,Supra-aural,"[20, 20]",True,False,Closed,Black / Silver
Logitech H390,22.99,Supra-aural,"[20, 20]",True,False,Closed,Black / Silver
Asus ROG CENTURION,,Circumaural,,True,False,Closed,Black
Logitech G430,177.99,Circumaural,"[20, 20]",True,False,Closed,Black / Blue
Asus TUF Gaming H5,94.71,Circumaural,"[20, 20]",True,False,Closed,Black / Gold
Yamaha EPH-20 Pink,4.99,In Ear,"[20, 21]",False,False,Closed,Black / Pink
Audio-Technica ATH-IM04,806.22,In Ear,"[15, 20]",False,False,Closed,Black
Razer Kraken,,Circumaural,"[20, 20]",False,False,Closed,Green / Black
Sony MDRE9LP/BLU,,Earbud,"[18, 22]",False,False,Closed,Blue / White
Bose QC35,,Circumaural,,True,True,Closed,Black
SteelSeries Arctis 3 Bluetooth (2019 Edition),179.0,Circumaural,"[20, 22]",True,False,Closed,Black
DROP Drop + Sennheiser PC38X,,Circumaural,"[10, 30]",True,False,Open,Black / Yellow
NZXT Relay,99.99,Circumaural,"[20, 40]",True,False,Closed,Black / Purple
Corsair VOID RGB ELITE,,Circumaural,"[20, 20]",True,False,Closed,Black
Sennheiser ‎‎‎HD 450BT White,129.94,Circumaural,"[18, 22]",True,True,Closed,White / Beige
Koss GMR-545-AIR,29.99,Circumaural,"[15, 22]",True,False,Open,Black / Red
Meze Audio 99 Neo,199.0,Circumaural,"[15, 25]",False,False,Closed,Black
Sennheiser HD 579,399.99,Circumaural,"[15, 28]",False,False,Open,Gray
AKG K712 PRO,319.64,Circumaural,"[10, 39.8]",False,False,Open,Black / Orange
Corsair HS70 PRO,,Circumaural,"[20, 20]",True,True,Closed,Black / Beige
Razer Hammerhead Pro v2,,In Ear,"[50, 10]",True,False,Closed,Black / Green
Asus ROG Strix Fusion Wireless,,Circumaural,"[20, 20]",True,True,Closed,Black
Audio-Technica SonicFuel CLR100iS,8.99,In Ear,"[20, 25]",True,False,Closed,Blue
